### description, bullard_sense_option, z_top, z_base, R_T_fit_option, q, sigma_q, q_round, sigma_q_round, Q, sigma_Q, Q_round, sigma_Q_round, c, sigma_c, c_round, sigma_c_round, invq, sigma_invq, invc, sigma_invc
### values, downward, 6.120000, 339.780000, R_versus_T, 0.067564, 0.007840, 0.068000, 0.008000, 67.563931, 7.839744, 68.000000, 8.000000, nan, nan, nan, nan, 14.800797, 1.717402, -147.321990, 18.212184
zTk_m,zTk_error_m,T,T_error,R1_downward,sigma_R1_downward
6.12,0.03,10.68,0.25,2.68421052631579,2.487675169853948
9.18,0.03,10.1,0.25,4.026315789473684,3.7314837566778074
12.24,0.03,10.08,0.25,5.36842105263158,4.975298143051305
15.31,0.03,10.12,0.25,6.714912280701755,6.223179612027789
18.37,0.03,10.16,0.25,8.05701754385965,7.466997480950971
21.43,0.03,10.19,0.25,9.399122807017545,8.710816011588978
24.49,0.03,10.21,0.25,10.741228070175438,9.954634955900627
27.55,0.03,10.24,0.25,12.083333333333334,11.198454176044986
30.61,0.03,10.26,0.25,13.42543859649123,12.44227358929939
33.67,0.03,10.31,0.25,14.767543859649125,13.686093143013162
36.73,0.03,10.37,0.25,16.109649122807017,14.929912802081045
39.79,0.03,10.42,0.25,17.451754385964914,16.17373254219669
42.86,0.03,10.49,0.25,18.79824561403509,17.421617116686896
45.92,0.03,10.56,0.25,20.140350877192986,18.665436971586736
48.98,0.03,10.64,0.25,21.482456140350877,19.909256867858552
52.04,0.03,10.71,0.25,22.824561403508774,21.153076798204225
55.1,0.03,10.8,0.25,24.166666666666668,22.39689675694684
58.16,0.03,10.91,0.25,25.50877192982456,23.640716739604215
61.22,0.03,10.94,0.25,26.85087719298246,24.884536742590303
64.28,0.03,11.07,0.25,28.192982456140353,26.128356763001914
67.34,0.03,11.15,0.25,29.53508771929825,27.372176798463542
70.41,0.03,11.22,0.25,30.88157894736842,28.620061618432768
73.47,0.03,11.31,0.25,32.223684210526315,29.863881678469006
76.53,0.03,11.4,0.25,33.56578947368421,31.107701748579277
79.59,0.03,11.49,0.25,34.90789473684211,32.35152182760162
82.65,0.03,11.58,0.25,36.25000000000001,33.59534191454618
85.71,0.03,11.67,0.25,37.5921052631579,34.83916200856443
88.77,0.03,11.75,0.25,38.93421052631579,36.082982108924874
91.83,0.03,11.84,0.25,40.276315789473685,37.326802214993485
94.89,0.03,11.94,0.25,41.61842105263158,38.57062232621805
97.95,0.03,12.04,0.25,42.96052631578948,39.81444244211533
101.02,0.03,12.15,0.25,44.30701754385965,41.06232733390166
104.08,0.03,12.27,0.25,45.64912280701755,42.306147457932425
107.14,0.03,12.37,0.25,46.991228070175445,43.549967585503595
110.2,0.03,12.48,0.25,48.333333333333336,44.79378771632024
113.26,0.03,12.59,0.25,49.67543859649123,46.03760785011932
116.32,0.03,12.7,0.25,51.01754385964912,47.28142798666544
119.38,0.03,12.81,0.25,52.35964912280702,48.52524812574738
122.44,0.03,12.93,0.25,53.70175438596492,49.769068267175
125.5,0.03,13.05,0.25,55.04385964912281,51.01288841077673
128.57,0.03,13.17,0.25,56.390350877192986,52.26077332811819
131.63,0.03,13.29,0.25,57.73245614035088,53.50459347562276
134.69,0.03,13.4,0.25,59.074561403508774,54.748413624876974
137.75,0.03,13.51,0.25,60.41666666666667,55.99223377576422
140.81,0.03,13.61,0.25,61.75877192982457,57.23605392817805
143.87,0.03,13.73,0.25,63.100877192982466,58.47987408202106
146.93,0.03,13.85,0.25,64.44298245614036,59.723694237203944
149.99,0.03,13.97,0.25,65.78508771929826,60.967514393644684
153.05,0.03,14.08,0.25,67.12719298245615,62.21133455126788
156.12,0.03,14.22,0.25,68.47368421052633,63.45921948176626
159.18,0.03,14.33,0.25,69.81578947368422,64.70303964155437
162.24,0.03,14.44,0.25,71.15789473684211,65.94685980233164
165.3,0.03,14.53,0.25,72.50000000000001,67.19067996404317
168.36,0.03,14.64,0.25,73.8421052631579,68.434500126638
171.42,0.03,14.74,0.25,75.1842105263158,69.67832029006881
174.48,0.03,14.85,0.25,76.52631578947368,70.92214045429166
177.54,0.03,14.96,0.25,77.86842105263158,72.16596061926558
180.6,0.03,15.07,0.25,79.21052631578948,73.40978078495235
183.67,0.03,15.18,0.25,80.55701754385964,74.65766572310298
186.73,0.03,15.28,0.25,81.89912280701755,75.90148589011302
189.79,0.03,15.37,0.25,83.24122807017544,77.1453060577358
192.85,0.03,15.46,0.25,84.58333333333334,78.38912622594209
195.91,0.03,15.53,0.25,85.92543859649123,79.6329463947046
198.97,0.03,15.59,0.25,87.26754385964912,80.87676656399763
202.03,0.03,15.66,0.25,88.60964912280703,82.12058673379711
205.09,0.03,15.73,0.25,89.95175438596492,83.36440690408034
208.15,0.03,15.75,0.25,91.29385964912282,84.608227074826
211.22,0.03,15.8,0.25,92.64035087719299,85.85611201781596
214.28,0.03,15.89,0.25,93.98245614035089,87.09993218942867
217.34,0.03,15.97,0.25,95.32456140350878,88.34375236144682
220.4,0.03,16.05,0.25,96.66666666666667,89.58757253385352
223.46,0.03,16.16,0.25,98.00877192982458,90.83139270663283
226.52,0.03,16.25,0.25,99.35087719298247,92.07521287976961
229.58,0.03,16.34,0.25,100.69298245614037,93.31903305324958
232.64,0.03,16.43,0.25,102.03508771929825,94.5628532270592
235.7,0.03,16.54,0.25,103.37719298245615,95.8066734011856
238.77,0.03,16.64,0.25,104.72368421052633,97.05455834742904
241.83,0.03,16.73,0.25,106.06578947368422,98.29837852215411
244.89,0.03,16.82,0.25,107.40789473684211,99.54219869716123
247.95,0.03,16.93,0.25,108.75,100.78601887243995
251.01,0.03,17.02,0.25,110.0921052631579,102.02983904798035
254.07,0.03,17.1,0.25,111.4342105263158,103.27365922377292
257.13,0.03,17.21,0.25,112.77631578947368,104.51747939980874
260.19,0.03,17.32,0.25,114.11842105263159,105.76129957607918
263.25,0.03,17.42,0.25,115.46052631578948,107.00511975257609
266.31,0.03,17.52,0.25,116.80263157894738,108.24893992929162
269.38,0.03,17.63,0.25,118.14912280701755,109.49682487803871
272.44,0.03,17.74,0.25,119.49122807017545,110.74064505517015
275.5,0.03,17.85,0.25,120.83333333333334,111.98446523249885
278.56,0.03,17.94,0.25,122.17543859649123,113.2282854100183
281.62,0.03,18.03,0.25,123.51754385964914,114.4721055877223
284.68,0.03,18.12,0.25,124.85964912280703,115.71592576560488
287.74,0.03,18.2,0.25,126.20175438596493,116.95974594366035
290.8,0.03,18.29,0.25,127.54385964912282,118.20356612188323
293.86,0.03,18.38,0.25,128.8859649122807,119.44738630026832
296.93,0.03,18.48,0.25,130.2324561403509,120.69527125063613
299.99,0.03,18.57,0.25,131.5745614035088,121.93909142933126
303.05,0.03,18.66,0.25,132.91666666666669,123.18291160817412
306.11,0.03,18.76,0.25,134.25877192982458,124.42673178716032
309.17,0.03,18.83,0.25,135.60087719298247,125.67055196628557
312.23,0.03,18.94,0.25,136.94298245614038,126.91437214554578
315.29,0.03,19.03,0.25,138.28508771929828,128.158192324937
318.35,0.03,19.12,0.25,139.62719298245617,129.4020125044555
321.41,0.03,19.23,0.25,140.96929824561406,130.64583268409766
324.48,0.03,19.32,0.25,142.31578947368422,131.89371763568937
327.54,0.03,19.41,0.25,143.65789473684214,133.13753781556878
330.6,0.03,19.51,0.25,145.00000000000003,134.38135799556167
333.66,0.03,19.61,0.25,146.34210526315792,135.62517817566496
336.72,0.03,19.7,0.25,147.6842105263158,136.86899835587562
339.78,0.03,19.79,0.25,149.0263157894737,138.11281853619073
