### description, bullard_sense_option, z_top, z_base, R_T_fit_option, q, sigma_q, q_round, sigma_q_round, Q, sigma_Q, Q_round, sigma_Q_round, c, sigma_c, c_round, sigma_c_round, invq, sigma_invq, invc, sigma_invc
### values, upward, 6.120000, 339.780000, T_versus_R, 0.070588, 0.000559, 0.070600, 0.000600, 70.587746, 0.559137, 70.600000, 0.600000, 19.794202, 0.047350, 19.790000, 0.050000, nan, nan, nan, nan
zTk_m,zTk_error_m,T,T_error,R1_downward,sigma_R1_downward
6.12,0.03,10.68,0.25,2.68421052631579,0.013157894736842106
9.18,0.03,10.1,0.25,4.026315789473684,1.2438897802146063
12.24,0.03,10.08,0.25,5.36842105263158,2.4876751698539272
15.31,0.03,10.12,0.25,6.714912280701755,3.7314837566777874
18.37,0.03,10.16,0.25,8.05701754385965,4.975298143051285
21.43,0.03,10.19,0.25,9.399122807017545,6.2191148492696255
24.49,0.03,10.21,0.25,10.741228070175438,7.4669974809509485
27.55,0.03,10.24,0.25,12.083333333333334,8.710816011588959
30.61,0.03,10.26,0.25,13.42543859649123,9.954634955900607
33.67,0.03,10.31,0.25,14.767543859649125,11.198454176044967
36.73,0.03,10.37,0.25,16.109649122807017,12.442273589299372
39.79,0.03,10.42,0.25,17.451754385964914,13.686093143013142
42.86,0.03,10.49,0.25,18.79824561403509,14.929912802081033
45.92,0.03,10.56,0.25,20.140350877192986,16.173732542196674
48.98,0.03,10.64,0.25,21.482456140350877,17.41755234599676
52.04,0.03,10.71,0.25,22.824561403508774,18.665436971586715
55.1,0.03,10.8,0.25,24.166666666666668,19.909256867858534
58.16,0.03,10.91,0.25,25.50877192982456,21.15307679820421
61.22,0.03,10.94,0.25,26.85087719298246,22.396896756946827
64.28,0.03,11.07,0.25,28.192982456140353,23.640716739604205
67.34,0.03,11.15,0.25,29.53508771929825,24.884536742590292
70.41,0.03,11.22,0.25,30.88157894736842,26.128356763001904
73.47,0.03,11.31,0.25,32.223684210526315,27.37217679846353
76.53,0.03,11.4,0.25,33.56578947368421,28.615996847012685
79.59,0.03,11.49,0.25,34.90789473684211,29.863881678469
82.65,0.03,11.58,0.25,36.25000000000001,31.107701748579267
85.71,0.03,11.67,0.25,37.5921052631579,32.35152182760161
88.77,0.03,11.75,0.25,38.93421052631579,33.595341914546175
91.83,0.03,11.84,0.25,40.276315789473685,34.83916200856442
94.89,0.03,11.94,0.25,41.61842105263158,36.082982108924874
97.95,0.03,12.04,0.25,42.96052631578948,37.326802214993485
101.02,0.03,12.15,0.25,44.30701754385965,38.57062232621804
104.08,0.03,12.27,0.25,45.64912280701755,39.81444244211531
107.14,0.03,12.37,0.25,46.991228070175445,41.058262562260644
110.2,0.03,12.48,0.25,48.333333333333336,42.30614745793242
113.26,0.03,12.59,0.25,49.67543859649123,43.54996758550358
116.32,0.03,12.7,0.25,51.01754385964912,44.793787716320224
119.38,0.03,12.81,0.25,52.35964912280702,46.0376078501193
122.44,0.03,12.93,0.25,53.70175438596492,47.28142798666543
125.5,0.03,13.05,0.25,55.04385964912281,48.52524812574737
128.57,0.03,13.17,0.25,56.390350877192986,49.769068267174994
131.63,0.03,13.29,0.25,57.73245614035088,51.012888410776725
134.69,0.03,13.4,0.25,59.074561403508774,52.25670855639731
137.75,0.03,13.51,0.25,60.41666666666667,53.50459347562274
140.81,0.03,13.61,0.25,61.75877192982457,54.74841362487696
143.87,0.03,13.73,0.25,63.100877192982466,55.99223377576421
146.93,0.03,13.85,0.25,64.44298245614036,57.23605392817804
149.99,0.03,13.97,0.25,65.78508771929826,58.479874082021055
153.05,0.03,14.08,0.25,67.12719298245615,59.72369423720393
156.12,0.03,14.22,0.25,68.47368421052633,60.96751439364468
159.18,0.03,14.33,0.25,69.81578947368422,62.21133455126785
162.24,0.03,14.44,0.25,71.15789473684211,63.45515471000393
165.3,0.03,14.53,0.25,72.50000000000001,64.70303964155435
168.36,0.03,14.64,0.25,73.8421052631579,65.94685980233163
171.42,0.03,14.74,0.25,75.1842105263158,67.19067996404317
174.48,0.03,14.85,0.25,76.52631578947368,68.43450012663799
