### description, bullard_sense_option, z_top, z_base, R_T_fit_option, q, sigma_q, q_round, sigma_q_round, Q, sigma_Q, Q_round, sigma_Q_round, c, sigma_c, c_round, sigma_c_round, invq, sigma_invq, invc, sigma_invc
### values, downward, 6.120000, 339.780000, T_versus_R, 0.050534, 0.000401, 0.050500, 0.000400, 50.533723, 0.401259, 50.500000, 0.400000, 8.838657, 0.051791, 8.840000, 0.050000, nan, nan, nan, nan
zTk_m,zTk_error_m,T,T_error,R1_downward,sigma_R1_downward
6.12,0.03,10.68,0.25,4.636363636363636,0.7028468897468946
9.18,0.03,10.1,0.25,6.954545454545454,1.0539640778050563
12.24,0.03,10.08,0.25,9.272727272727272,1.4051424891912827
15.31,0.03,10.12,0.25,11.598484848484848,1.7574931457892393
18.37,0.03,10.16,0.25,13.916666666666666,2.108708337336836
21.43,0.03,10.19,0.25,16.234848484848484,2.4599305187671945
24.49,0.03,10.21,0.25,18.5530303030303,2.811157070161898
27.55,0.03,10.24,0.25,20.87121212121212,3.162386535487218
30.61,0.03,10.26,0.25,23.189393939393938,3.5136180408933324
33.67,0.03,10.31,0.25,25.507575757575758,3.8648510301824035
36.73,0.03,10.37,0.25,27.82575757575757,4.216085132497149
39.79,0.03,10.42,0.25,30.14393939393939,4.567320091057298
42.86,0.03,10.49,0.25,32.46969696969697,4.919703552234839
45.92,0.03,10.56,0.25,34.78787878787879,5.270939723466277
48.98,0.03,10.64,0.25,37.1060606060606,5.6221763317871885
52.04,0.03,10.71,0.25,39.34638942617666,5.973945615930714
55.1,0.03,10.8,0.25,41.51660219213411,5.990200463599727
58.16,0.03,10.91,0.25,43.88735106129141,6.187004554458362
61.22,0.03,10.94,0.25,46.164702905468786,6.3731632003824865
64.28,0.03,11.07,0.25,48.151545010731944,6.501019753610793
67.34,0.03,11.15,0.25,49.94101869494247,6.5051801848639945
70.41,0.03,11.22,0.25,51.56733448441615,6.602033422648056
73.47,0.03,11.31,0.25,53.296562139352304,6.699565784075878
76.53,0.03,11.4,0.25,55.107213026926274,6.707053363547132
79.59,0.03,11.49,0.25,57.27034825143028,6.845984011729823
82.65,0.03,11.58,0.25,59.51649671081403,7.010742524827225
85.71,0.03,11.67,0.25,61.59812936387525,7.01672227265388
88.77,0.03,11.75,0.25,63.70802684399406,7.16216571363246
91.83,0.03,11.84,0.25,65.86295642145885,7.173547436960919
94.89,0.03,11.94,0.25,68.01788599892365,7.320962480005898
97.95,0.03,12.04,0.25,70.17281557638843,7.334622348929813
101.02,0.03,12.15,0.25,72.41150684810633,7.4808780247316
104.08,0.03,12.27,0.25,74.51484298885124,7.615927062055315
107.14,0.03,12.37,0.25,76.47638145038971,7.624050231768815
110.2,0.03,12.48,0.25,78.79084298885124,7.7694937006814095
113.26,0.03,12.59,0.25,81.09653346504172,7.913248302824052
116.32,0.03,12.7,0.25,82.91796203647029,7.917567479872496
119.38,0.03,12.81,0.25,85.08215617566442,8.042484692453455
122.44,0.03,12.93,0.25,87.43600232951057,8.061113417172235
125.5,0.03,13.05,0.25,89.30962870313695,8.182613477528383
128.57,0.03,13.17,0.25,91.02871472464233,8.26400206285186
131.63,0.03,13.29,0.25,92.77527895445716,8.343198723017833
134.69,0.03,13.4,0.25,94.60959848108439,8.431739071057402
137.75,0.03,13.51,0.25,96.45365582095012,8.52053629200251
140.81,0.03,13.61,0.25,98.28599115029144,8.52602911506772
143.87,0.03,13.73,0.25,100.23036430873644,8.64999757602024
146.93,0.03,13.85,0.25,102.65893573730787,8.661807279278007
149.99,0.03,13.97,0.25,105.0875071658793,8.690716534933665
153.05,0.03,14.08,0.25,107.39601893747833,8.843498716098866
156.12,0.03,14.22,0.25,109.45642162204209,8.850581325485841
159.18,0.03,14.33,0.25,111.30470944998595,8.942874336423346
162.24,0.03,14.44,0.25,113.10203251282914,9.032803473523883
165.3,0.03,14.53,0.25,115.15572378799693,9.038575048633989
168.36,0.03,14.64,0.25,117.16392190200594,9.14032022685771
171.42,0.03,14.74,0.25,119.10063076276542,9.146163037031915
174.48,0.03,14.85,0.25,120.89242473919492,9.228987847670478
177.54,0.03,14.96,0.25,122.40263345062868,9.28750988558643
180.6,0.03,15.07,0.25,124.17240117981079,9.363287921128961
183.67,0.03,15.18,0.25,126.56584882218678,9.5026688033939
186.73,0.03,15.28,0.25,128.9153411418952,9.630281187925483
189.79,0.03,15.37,0.25,130.95934615512454,9.73252823208263
192.85,0.03,15.46,0.25,133.06128413962068,9.831508295243554
195.91,0.03,15.53,0.25,134.6036754439685,9.88354311478574
198.97,0.03,15.59,0.25,135.9341102265772,9.88479765016628
202.03,0.03,15.66,0.25,137.5360297455411,9.933864783741317
205.09,0.03,15.73,0.25,138.72361584687283,9.967695875848621
208.15,0.03,15.75,0.25,139.27947042791388,9.974348164898075
211.22,0.03,15.8,0.25,140.23112324813286,9.996691484654537
214.28,0.03,15.89,0.25,141.5948189131984,10.036900467508167
217.34,0.03,15.97,0.25,142.9509540261828,10.07663013957517
220.4,0.03,16.05,0.25,144.35601174051888,10.121812527309622
223.46,0.03,16.16,0.25,145.87772477540096,10.169898394318816
226.52,0.03,16.25,0.25,147.33593296527715,10.219313427855182
229.58,0.03,16.34,0.25,148.79136968541977,10.25899327876139
232.64,0.03,16.43,0.25,150.27028726871322,10.33458109511803
235.7,0.03,16.54,0.25,152.36274942178304,10.423029384199188
238.77,0.03,16.64,0.25,153.96289309994395,10.484346791921862
241.83,0.03,16.73,0.25,155.91324691744862,10.56020266273248
244.89,0.03,16.82,0.25,157.57862334735017,10.613071158139721
247.95,0.03,16.93,0.25,159.1554090616359,10.668542809155634
251.01,0.03,17.02,0.25,160.98040193303598,10.7373552546792
254.07,0.03,17.1,0.25,162.81273726237728,10.741062606167473
257.13,0.03,17.21,0.25,164.89087265825222,10.82290682985937
260.19,0.03,17.32,0.25,166.64674163563666,10.890103654285026
263.25,0.03,17.42,0.25,168.18318917040278,10.9388842440915
266.31,0.03,17.52,0.25,169.84862218298605,10.994718774858471
269.38,0.03,17.63,0.25,171.1344712719611,11.029964721481301
272.44,0.03,17.74,0.25,172.84490660503474,11.090484897988247
275.5,0.03,17.85,0.25,174.77070874407215,11.171444462234994
278.56,0.03,17.94,0.25,176.6136294103624,11.236732265450701
281.62,0.03,18.03,0.25,178.52591151815642,11.312370391639691
284.68,0.03,18.12,0.25,180.50010506654354,11.316147014093147
287.74,0.03,18.2,0.25,182.3042967924411,11.38404908672731
290.8,0.03,18.29,0.25,184.21113112814368,11.450723012507783
293.86,0.03,18.38,0.25,186.0536480073635,11.51887405439464
296.93,0.03,18.48,0.25,187.66442458543656,11.567614075285597
299.99,0.03,18.57,0.25,189.18086847808235,11.61588361784759
303.05,0.03,18.66,0.25,190.72088592309518,11.660987439370363
306.11,0.03,18.76,0.25,192.07462098285615,11.696515890450284
309.17,0.03,18.83,0.25,194.05863807687325,11.782386444577588
312.23,0.03,18.94,0.25,196.13333149939274,11.870099907292934
315.29,0.03,19.03,0.25,197.781399132243,11.919914904076743
318.35,0.03,19.12,0.25,199.44289645844617,11.971825144442656
321.41,0.03,19.23,0.25,201.56610682296085,12.059161984810576
324.48,0.03,19.32,0.25,204.2073490589857,12.165791613925885
327.54,0.03,19.41,0.25,205.95592048755714,12.167534668980112
330.6,0.03,19.51,0.25,207.97092048755712,12.239158491945858
333.66,0.03,19.61,0.25,209.8150852026235,12.307719035668157
336.72,0.03,19.7,0.25,211.54079948833777,12.359859885764644
339.78,0.03,19.79,0.25,212.9045902644907,12.412151279017841
