### description, bullard_sense_option, z_top, z_base, R_T_fit_option, q, sigma_q, q_round, sigma_q_round, Q, sigma_Q, Q_round, sigma_Q_round, c, sigma_c, c_round, sigma_c_round, invq, sigma_invq, invc, sigma_invc
### values, upward, 6.120000, 339.780000, T_versus_R, 0.050501, 0.000401, 0.050500, 0.000400, 50.500559, 0.401003, 50.500000, 0.400000, 19.601470, 0.046120, 19.600000, 0.050000, nan, nan, nan, nan
zTk_m,zTk_error_m,T,T_error,R1_downward,sigma_R1_downward
6.12,0.03,10.68,0.25,4.636363636363636,0.011811023622047244
9.18,0.03,10.1,0.25,6.954545454545454,1.0632209805787722
12.24,0.03,10.08,0.25,9.272727272727272,1.555221922584743
15.31,0.03,10.12,0.25,11.598484848484848,2.0217159948327423
18.37,0.03,10.16,0.25,13.916666666666666,2.4152593933896376
21.43,0.03,10.19,0.25,16.234848484848484,2.8411563835336726
24.49,0.03,10.21,0.25,18.5530303030303,2.8916154906481744
27.55,0.03,10.24,0.25,20.87121212121212,3.2518962787254524
30.61,0.03,10.26,0.25,23.189393939393938,3.436682636598342
33.67,0.03,10.31,0.25,25.507575757575758,3.605928254654803
36.73,0.03,10.37,0.25,27.82575757575757,3.878873098149426
39.79,0.03,10.42,0.25,30.14393939393939,4.1343249361305645
42.86,0.03,10.49,0.25,32.46969696969697,4.233828945333334
45.92,0.03,10.56,0.25,34.78787878787879,4.3558003793083415
48.98,0.03,10.64,0.25,37.1060606060606,4.482516372828477
52.04,0.03,10.71,0.25,39.34638942617666,4.604387616201058
55.1,0.03,10.8,0.25,41.51660219213411,4.771611953738619
58.16,0.03,10.91,0.25,43.88735106129141,4.9296336307876105
61.22,0.03,10.94,0.25,46.164702905468786,5.080955810966667
64.28,0.03,11.07,0.25,48.151545010731944,5.248120430543572
67.34,0.03,11.15,0.25,49.94101869494247,5.253896726326263
70.41,0.03,11.22,0.25,51.56733448441615,5.393978704517802
73.47,0.03,11.31,0.25,53.296562139352304,5.557307041633638
76.53,0.03,11.4,0.25,55.107213026926274,5.678464037783076
79.59,0.03,11.49,0.25,57.27034825143028,5.745949532585573
82.65,0.03,11.58,0.25,59.51649671081403,5.851397872674815
85.71,0.03,11.67,0.25,61.59812936387525,5.942079747485517
88.77,0.03,11.75,0.25,63.70802684399406,6.0594764086862565
91.83,0.03,11.84,0.25,65.86295642145885,6.206516683269981
94.89,0.03,11.94,0.25,68.01788599892365,6.213206859023664
97.95,0.03,12.04,0.25,70.17281557638843,6.331096867527125
101.02,0.03,12.15,0.25,72.41150684810633,6.507497794486999
104.08,0.03,12.27,0.25,74.51484298885124,6.510456005096505
107.14,0.03,12.37,0.25,76.47638145038971,6.630892987254938
110.2,0.03,12.48,0.25,78.79084298885124,6.727937433315257
113.26,0.03,12.59,0.25,81.09653346504172,6.861814446377326
116.32,0.03,12.7,0.25,82.91796203647029,6.975596127636242
119.38,0.03,12.81,0.25,85.08215617566442,7.0335697183239585
122.44,0.03,12.93,0.25,87.43600232951057,7.104760618864827
125.5,0.03,13.05,0.25,89.30962870313695,7.17291235656274
128.57,0.03,13.17,0.25,91.02871472464233,7.236315488916144
131.63,0.03,13.29,0.25,92.77527895445716,7.291211362731305
134.69,0.03,13.4,0.25,94.60959848108439,7.346380720501003
137.75,0.03,13.51,0.25,96.45365582095012,7.376878835280355
140.81,0.03,13.61,0.25,98.28599115029144,7.385865897665587
143.87,0.03,13.73,0.25,100.23036430873644,7.429727410355366
146.93,0.03,13.85,0.25,102.65893573730787,7.49632030911031
149.99,0.03,13.97,0.25,105.0875071658793,7.497729267806869
153.05,0.03,14.08,0.25,107.39601893747833,7.565797818387054
156.12,0.03,14.22,0.25,109.45642162204209,7.691544434673644
159.18,0.03,14.33,0.25,111.30470944998595,7.820240230457077
162.24,0.03,14.44,0.25,113.10203251282914,7.97165505172884
165.3,0.03,14.53,0.25,115.15572378799693,8.136766774896747
168.36,0.03,14.64,0.25,117.16392190200594,8.224590747655016
171.42,0.03,14.74,0.25,119.10063076276542,8.289384148301798
