> downward T_versus_R 0.070588 0.000559 0.070600 0.000600 70.587746 0.559137 70.600000 0.600000 9.274770 0.048653 9.270000 0.050000 nan nan nan nan
> downward R_versus_T 0.067564 0.007840 0.068000 0.008000 67.563931 7.839744 68.000000 8.000000 nan nan nan nan 14.800797 1.717402 -147.321990 18.212184
> upward T_versus_R 0.070588 0.000559 0.070600 0.000600 70.587746 0.559137 70.600000 0.600000 19.794202 0.047350 19.790000 0.050000 nan nan nan nan
> upward R_versus_T 0.070368 0.006222 0.070000 0.006000 70.368051 6.221905 70.000000 6.000000 nan nan nan nan -14.210995 1.256528 281.235598 24.866632
T,T_error,R1_downward,sigma_R1_downward,T_rev,T_error_rev,R1_upward,sigma_R1_upward
10.68,0.25,2.68421052631579,2.68421052631579,19.79,0.25,0.0,0.013157894736842106
10.1,0.25,4.026315789473684,4.026315789473684,19.7,0.25,1.342105263157871,1.2438897802146063
10.08,0.25,5.36842105263158,5.36842105263158,19.61,0.25,2.6842105263157667,2.4876751698539272
10.12,0.25,6.714912280701755,6.714912280701755,19.51,0.25,4.026315789473663,3.7314837566777874
10.16,0.25,8.05701754385965,8.05701754385965,19.41,0.25,5.368421052631558,4.975298143051285
10.19,0.25,9.399122807017545,9.399122807017545,19.32,0.25,6.710526315789454,6.2191148492696255
10.21,0.25,10.741228070175438,10.741228070175438,19.23,0.25,8.057017543859628,7.4669974809509485
10.24,0.25,12.083333333333334,12.083333333333334,19.12,0.25,9.399122807017523,8.710816011588959
10.26,0.25,13.42543859649123,13.42543859649123,19.03,0.25,10.741228070175419,9.954634955900607
10.31,0.25,14.767543859649125,14.767543859649125,18.94,0.25,12.083333333333314,11.198454176044967
10.37,0.25,16.109649122807017,16.109649122807017,18.83,0.25,13.42543859649121,12.442273589299372
10.42,0.25,17.451754385964914,17.451754385964914,18.76,0.25,14.767543859649106,13.686093143013142
10.49,0.25,18.79824561403509,18.79824561403509,18.66,0.25,16.109649122807003,14.929912802081033
10.56,0.25,20.140350877192986,20.140350877192986,18.57,0.25,17.451754385964897,16.173732542196674
10.64,0.25,21.482456140350877,21.482456140350877,18.48,0.25,18.793859649122794,17.41755234599676
10.71,0.25,22.824561403508774,22.824561403508774,18.38,0.25,20.140350877192965,18.665436971586715
10.8,0.25,24.166666666666668,24.166666666666668,18.29,0.25,21.482456140350862,19.909256867858534
10.91,0.25,25.50877192982456,25.50877192982456,18.2,0.25,22.824561403508756,21.15307679820421
10.94,0.25,26.85087719298246,26.85087719298246,18.12,0.25,24.166666666666654,22.396896756946827
11.07,0.25,28.192982456140353,28.192982456140353,18.03,0.25,25.50877192982455,23.640716739604205
11.15,0.25,29.53508771929825,29.53508771929825,17.94,0.25,26.850877192982445,24.884536742590292
11.22,0.25,30.88157894736842,30.88157894736842,17.85,0.25,28.192982456140342,26.128356763001904
11.31,0.25,32.223684210526315,32.223684210526315,17.74,0.25,29.535087719298236,27.37217679846353
11.4,0.25,33.56578947368421,33.56578947368421,17.63,0.25,30.877192982456133,28.615996847012685
11.49,0.25,34.90789473684211,34.90789473684211,17.52,0.25,32.22368421052631,29.863881678469
11.58,0.25,36.25000000000001,36.25000000000001,17.42,0.25,33.5657894736842,31.107701748579267
11.67,0.25,37.5921052631579,37.5921052631579,17.32,0.25,34.907894736842096,32.35152182760161
11.75,0.25,38.93421052631579,38.93421052631579,17.21,0.25,36.24999999999999,33.595341914546175
11.84,0.25,40.276315789473685,40.276315789473685,17.1,0.25,37.59210526315789,34.83916200856442
11.94,0.25,41.61842105263158,41.61842105263158,17.02,0.25,38.93421052631579,36.082982108924874
12.04,0.25,42.96052631578948,42.96052631578948,16.93,0.25,40.27631578947368,37.326802214993485
12.15,0.25,44.30701754385965,44.30701754385965,16.82,0.25,41.618421052631575,38.57062232621804
12.27,0.25,45.64912280701755,45.64912280701755,16.73,0.25,42.96052631578946,39.81444244211531
12.37,0.25,46.991228070175445,46.991228070175445,16.64,0.25,44.302631578947356,41.058262562260644
12.48,0.25,48.333333333333336,48.333333333333336,16.54,0.25,45.64912280701754,42.30614745793242
12.59,0.25,49.67543859649123,49.67543859649123,16.43,0.25,46.99122807017544,43.54996758550358
12.7,0.25,51.01754385964912,51.01754385964912,16.34,0.25,48.33333333333332,44.793787716320224
12.81,0.25,52.35964912280702,52.35964912280702,16.25,0.25,49.67543859649122,46.0376078501193
12.93,0.25,53.70175438596492,53.70175438596492,16.16,0.25,51.01754385964911,47.28142798666543
13.05,0.25,55.04385964912281,55.04385964912281,16.05,0.25,52.35964912280701,48.52524812574737
13.17,0.25,56.390350877192986,56.390350877192986,15.97,0.25,53.701754385964904,49.769068267174994
13.29,0.25,57.73245614035088,57.73245614035088,15.89,0.25,55.0438596491228,51.012888410776725
13.4,0.25,59.074561403508774,59.074561403508774,15.8,0.25,56.3859649122807,52.25670855639731
13.51,0.25,60.41666666666667,60.41666666666667,15.75,0.25,57.73245614035087,53.50459347562274
13.61,0.25,61.75877192982457,61.75877192982457,15.73,0.25,59.07456140350877,54.74841362487696
13.73,0.25,63.100877192982466,63.100877192982466,15.66,0.25,60.41666666666666,55.99223377576421
13.85,0.25,64.44298245614036,64.44298245614036,15.59,0.25,61.758771929824555,57.23605392817804
13.97,0.25,65.78508771929826,65.78508771929826,15.53,0.25,63.10087719298245,58.479874082021055
14.08,0.25,67.12719298245615,67.12719298245615,15.46,0.25,64.44298245614034,59.72369423720393
14.22,0.25,68.47368421052633,68.47368421052633,15.37,0.25,65.78508771929825,60.96751439364468
14.33,0.25,69.81578947368422,69.81578947368422,15.28,0.25,67.12719298245614,62.21133455126785
14.44,0.25,71.15789473684211,71.15789473684211,15.18,0.25,68.46929824561404,63.45515471000393
14.53,0.25,72.50000000000001,72.50000000000001,15.07,0.25,69.8157894736842,64.70303964155435
14.64,0.25,73.8421052631579,73.8421052631579,14.96,0.25,71.15789473684211,65.94685980233163
14.74,0.25,75.1842105263158,75.1842105263158,14.85,0.25,72.5,67.19067996404317
14.85,0.25,76.52631578947368,76.52631578947368,14.74,0.25,73.84210526315789,68.43450012663799
14.96,0.25,77.86842105263158,77.86842105263158,14.64,0.25,75.18421052631578,69.6783202900688
15.07,0.25,79.21052631578948,79.21052631578948,14.53,0.25,76.52631578947367,70.92214045429165
15.18,0.25,80.55701754385964,80.55701754385964,14.44,0.25,77.86842105263158,72.16596061926556
15.28,0.25,81.89912280701755,81.89912280701755,14.33,0.25,79.21052631578947,73.40978078495235
15.37,0.25,83.24122807017544,83.24122807017544,14.22,0.25,80.55263157894736,74.65360095131639
15.46,0.25,84.58333333333334,84.58333333333334,14.08,0.25,81.89912280701753,75.90148589011302
15.53,0.25,85.92543859649123,85.92543859649123,13.97,0.25,83.24122807017542,77.14530605773578
15.59,0.25,87.26754385964912,87.26754385964912,13.85,0.25,84.58333333333333,78.38912622594208
15.66,0.25,88.60964912280703,88.60964912280703,13.73,0.25,85.92543859649122,79.63294639470459
15.73,0.25,89.95175438596492,89.95175438596492,13.61,0.25,87.26754385964912,80.87676656399763
15.75,0.25,91.29385964912282,91.29385964912282,13.51,0.25,88.60964912280701,82.12058673379711
15.8,0.25,92.64035087719299,92.64035087719299,13.4,0.25,89.9517543859649,83.36440690408031
15.89,0.25,93.98245614035089,93.98245614035089,13.29,0.25,91.29385964912281,84.60822707482599
15.97,0.25,95.32456140350878,95.32456140350878,13.17,0.25,92.6359649122807,85.85204724601398
16.05,0.25,96.66666666666667,96.66666666666667,13.05,0.25,93.98245614035088,87.09993218942866
16.16,0.25,98.00877192982458,98.00877192982458,12.93,0.25,95.32456140350877,88.34375236144682
16.25,0.25,99.35087719298247,99.35087719298247,12.81,0.25,96.66666666666667,89.5875725338535
16.34,0.25,100.69298245614037,100.69298245614037,12.7,0.25,98.00877192982456,90.8313927066328
16.43,0.25,102.03508771929825,102.03508771929825,12.59,0.25,99.35087719298245,92.0752128797696
16.54,0.25,103.37719298245615,103.37719298245615,12.48,0.25,100.69298245614036,93.31903305324957
16.64,0.25,104.72368421052633,104.72368421052633,12.37,0.25,102.03508771929825,94.5628532270592
16.73,0.25,106.06578947368422,106.06578947368422,12.27,0.25,103.37719298245615,95.8066734011856
16.82,0.25,107.40789473684211,107.40789473684211,12.15,0.25,104.71929824561404,97.05049357561668
16.93,0.25,108.75,108.75,12.04,0.25,106.06578947368422,98.2983785221541
17.02,0.25,110.0921052631579,110.0921052631579,11.94,0.25,107.40789473684211,99.54219869716123
17.1,0.25,111.4342105263158,111.4342105263158,11.84,0.25,108.75,100.78601887243995
17.21,0.25,112.77631578947368,112.77631578947368,11.75,0.25,110.0921052631579,102.02983904798035
17.32,0.25,114.11842105263159,114.11842105263159,11.67,0.25,111.4342105263158,103.27365922377292
17.42,0.25,115.46052631578948,115.46052631578948,11.58,0.25,112.77631578947368,104.51747939980874
17.52,0.25,116.80263157894738,116.80263157894738,11.49,0.25,114.11842105263156,105.76129957607917
17.63,0.25,118.14912280701755,118.14912280701755,11.4,0.25,115.46052631578948,107.00511975257609
17.74,0.25,119.49122807017545,119.49122807017545,11.31,0.25,116.80263157894736,108.24893992929161
17.85,0.25,120.83333333333334,120.83333333333334,11.22,0.25,118.14473684210527,109.49276010621834
17.94,0.25,122.17543859649123,122.17543859649123,11.15,0.25,119.49122807017542,110.74064505517013
18.03,0.25,123.51754385964914,123.51754385964914,11.07,0.25,120.83333333333334,111.98446523249885
18.12,0.25,124.85964912280703,124.85964912280703,10.94,0.25,122.17543859649122,113.22828541001827
18.2,0.25,126.20175438596493,126.20175438596493,10.91,0.25,123.51754385964914,114.4721055877223
18.29,0.25,127.54385964912282,127.54385964912282,10.8,0.25,124.859649122807,115.71592576560485
18.38,0.25,128.8859649122807,128.8859649122807,10.71,0.25,126.2017543859649,116.95974594366034
18.48,0.25,130.2324561403509,130.2324561403509,10.64,0.25,127.5438596491228,118.20356612188321
