commented,name,file_name,os_grid_code,ukng_easting,ukng_northing,source_of_my_temperature_values,source_of_my_conductivity_values,other_sources,max_depth_borehole(m),temperature?,burley1984_temp_type,rollin1987_temp_type,type_temp,number_uncorrected_temp_measurements,number_corrected_temperature_measurements,max_depth_temp(m),conductivity?,number_conductivity_measurements,max_depth_conductivities(m),year_of_drilling,year_of_measurements,name_repeated,L19_name,SOBI_name,SOBI_code,B84_name,BGS_ref(ID),BGS_scan_link,UKOGL_name,UKOGL_code,UKOGL_well_tops,OGA_code,TGS_name,CGG_name,have_well_logs?,B84_k_HF_nT_listed_source,B84_nk,B84_nT_listed,B84_HF(mW/m2),B84_Tsource,B84_HF_to_plot(mW/m2),Notes,UKOGL_code,UKOGL_well_tops?,name_repeated,"Well logs from UKOGL, BGS borehole scans?",BGS_well_log_database?,BGS_confidential?,UKOGL_archive_documents?,TGS_well_logs?,stratigraphic_logs,,,,,,,,,,,,,,,,
,Rowlands Gill,rowlands_gill,NZ,416634,558141,Gebski1987,Gebski1987,,,y,,EQM,,79,,237,y,61,242,,1986,Rowlands Gill,Rowlands Gi,,,,NZ15NE276 (813881),http://scans.bgs.ac.uk/sobi_scans/boreholes/813881/images,,,,,,,,,,,,,,,,n,Rowlands Gill,none,"sp, dens, zgx2, neut, sonic, zgex, gamma, res, cali",n,n,,,,,,,,,,,,,,,,,,
,Longhorsley No. 1,longhorsley,NZ,414442,592553,Gebski1987,Gebski1987,,,y,,BHT,BHT,5,,1829,y,111,1829,,1986,Longhorsley No. 1,Longhorsley,,,,NZ19SW6 (607680),https://shop.bgs.ac.uk/Shop/search/boreholeIndex/ID/q/607680,LONGHORSLEY 1,000628,https://ukogl.org.uk/map/php/well_tops.php?wellId=628,L34/22- 1,,,Yes - from BGS,,,,,,,,,y,Longhorsley No. 1,,n,,,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Tocketts No. 1,tocketts,NZ,463125,518028,Bullard1951,,,,y,EQM,,,14,,906,y,2,,1945,1946,Tocketts No. 1,TOCKETT,,,TOCKETTS,NZ61NW6 (629896),Confidential,TOCKETTS BH,,,,,,,BN,,,49,BN,49,,004175,y,Tocketts No. 1,,n,y,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Kirkleatham No. 1,kirkleatham_no1,NZ,458790,521270,Bullard1951,Bullard1951,burley1984_pg44_from_161,,y,EQM,,,21,,935,y,10,,1945,1948,Kirkleatham No. 1,KIRKLEA,KIRKLEATHAM 1,,KIRKLEATHAM 1,NZ52SE6 (796665),http://scans.bgs.ac.uk/sobi_scans/boreholes/796665/images,KIRKLEATHAM 1,,,,,,,BN,,,48,BN,48,,000644,y,Kirkleatham No. 1,"porosity, resistivity",n,n,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Kirkleatham No. 1,kirkleatham_no1,NZ,458790,521270,"""01 - Exploration Wells_KIRKLEATHAM 1_KIRKLEATHAM 1_Petroleum Engineering File.pdf""",,,,y,BHT,,,,,,n,,,,,Kirkleatham No. 1,KIRKLEA,KIRKLEATHAM 1,,KIRKLEATHAM 1,NZ52SE6 (796665),http://scans.bgs.ac.uk/sobi_scans/boreholes/796665/images,KIRKLEATHAM 1,,,,,,,BN,,,48,BN,48,,000644,y,Kirkleatham No. 1,"porosity, resistivity",n,n,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Kirkleatham No. 2,kirkleatham_no2,NZ,459232,523763,"""01 - Exploration Wells_KIRKLEATHAM 2_KIRKLEATHAM 2_Petroleum Engineering File.pdf""",,,,y,,,DST,12,,859,n,,,1946,1946,Kirkleatham No. 2,,,,,NZ52SE8 (796667),http://scans.bgs.ac.uk/sobi_scans/boreholes/796667/images,KIRKLEATHAM 2,,,,,,,,,,,,,,,y,Kirkleatham No. 2,none,n,n,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Kirkleatham No. 3,kirkleatham_no3,NZ,458456,521893,"""01 - Exploration Wells_KIRKLEATHAM 3_KIRKLEATHAM 3_Drilling & Petroleum Engineering File.pdf""",,,,y,,,BHT,1,,679,n,,,1963,1963,Kirkleatham No. 3,,,,,NZ52SE52 (796777),http://scans.bgs.ac.uk/sobi_scans/boreholes/796777/images,KIRKLEATHAM 3,,,,,,,,,,,,,,,y,Kirkleatham No. 3,none,n,n,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Woodland,woodland,NZ,409140,527630,Mills1968,Bott1972,BGS does not have temperature log in its digital log database,,y,,EQM,,4,,488,yn,,,,1962,Woodland,WOODLAND,,,WOODLAND,NZ02NE4 (631421),http://scans.bgs.ac.uk/sobi_scans/boreholes/631421/images,,,,,,,,BOT,27,4,96,BOT,96,,010409,y,Woodland,none,"gamma, medres",n,n,,ukogl_well_tops,,,,,,,,,,,,,,,,
,South Hetton,south_hetton,NZ,438120,545250,Everett1872_fifth_report_pg132to133 and Everett1873_sixth_report_pg254,,Anderson1940 and Bott1972,,y,EQM,,,7,,529,n,,,1869,1872,South Hetton,S.HETTON,,,SOUTH HETTON,NZ34NE38 (BHC_726222),,,,,,,,,AND%BOT,,7,58%61,BAR,61,thermal conductivites measured but raw values not reported - just means for different lithologies,,n,South Hetton,na?,na?,na?,na?,,,,,,,,,,,,,,,,,,
,Boulby Mine Shaft No. 1,boulby_mine,NZ,476100,518400,England1980,Richardson1978,Richardson1978,,y,EQM,,EQM,2,,1087,yn,27?,,1969,?,Boulby Mine Shaft No. 1,BOULBY,BOULBY MINE NO. 1 SHAFT,,BOULBY,NZ71NE23 (620328),,BOULBY MINE SHAFT 1,,,,,,,OX2%OX4,27,2,47,OX4,47,Do not have original k values - England1980 only gives averages. Values will hopefully be in Oxburgh report? Were measurements of England1980 taken in Boulby Mine Shaft No. 1?,004834,y,Boulby Mine Shaft No. 1,none,n,n,n,,ukogl_well_tops,,,,,Were measurements of England1980 taken in Boulby Mine Shaft No. 1?,,,,,,,,,,,
,Whitley Bay,whitley_bay,NZ,434980,574850,Burley1984currently_pg43_from_161,,Safari Oil; cannot find BHT in available reports,2015,y,BHT,,,1,,1052,n,,,1967,1967,Whitley Bay,,WHITLEY BAY 1,,WHITELEY BAY,NZ37SW56 (803622),http://scans.bgs.ac.uk/sobi_scans/boreholes/803622/images,,000629,https://ukogl.org.uk/map/php/well_tops.php?wellId=629,L34/28- 1,,,,,,,,SAF,,,000629,y,Whitley Bay,check,n,n,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Throckley No. 1,throckley,NZ,414560,567620,Burley1984currently_pg43_from_161,,IGS; BGS does not have temperature log in its digital log database,,yn,LOG,,,1?,,591,n,,,,1965,Throckley No. 1,,THROCKLEY,,THROCKLEY NO. 1,NZ16NW45 (724700),http://scans.bgs.ac.uk/sobi_scans/boreholes/724700/images,THROCKLEY BH,,https://ukogl.org.uk/map/php/well_tops.php?wellId=4276,,,,,,,,,BGS,,,004276,y,Throckley No. 1,check,"gamma, sonic",n,n,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Boldon Colliery,boldon_colliery,NZ,434640,562230,Everett1877_tenth_report,,Burley1984currently_pg45_from_161,,y,CFM,,,2,2,1514,n,,,,1866,Boldon Colliery,,,,BOLDEN COLLIERY,NZ36SW20 (840698),http://scans.bgs.ac.uk/sobi_scans/boreholes/840698/images,,,,,,,,,,,,BAR,,,,n,Boldon Colliery,,n,,,,,,,,,,,,,,,,,,,,
,Harton Dome No. 1,harton_dome,NZ,439660,565620,Burley1984currently_pg44_from_161,,GEOCH BP,BGS do not have digital logs for Harton.,yn,LOG,,,4?,,1768,n,,,,1960,Harton Dome No. 1,,HARTON DOME 1,,HARTON,NZ36NE80 (923323),http://scans.bgs.ac.uk/sobi_scans/boreholes/923323/images,HARTON DOME 1,000631,https://ukogl.org.uk/map/php/well_tops.php?wellId=631,L40/04- 1,,,,,,,,B.P,,,000631,y,Harton Dome No. 1,"standard electric, microlog, caliper log, gamma ray log, graphic log",n,n,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Harton Dome No. 1,harton_dome,NZ,439660,565620,"pg3to16of30 in ""HARTONDOME1_PetroleumEngineeringReport.pdf""",,GEOCH BP; Burley1984currently_pg44_from_161,,y,DST ,,,1,,1322,n,,,,1960,Harton Dome No. 1,,HARTON DOME 1,,HARTON,NZ36NE80 (923323),http://scans.bgs.ac.uk/sobi_scans/boreholes/923323/images,HARTON DOME 1,000631,https://ukogl.org.uk/map/php/well_tops.php?wellId=631,L40/04- 1,,,,,,,,B.P,,,000631,y,Harton Dome No. 1,"standard electric, microlog, caliper log, gamma ray log, graphic log",n,n,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
,Eskdale No. 12,,NZ,485700,508200,Burley1984currently_pg44_from_161,,BP,,yn,LOG,,,4?,2?,1695,n,,,,1963,Eskdale No. 12,,,,ESKDALE NO.12,,,,,,,,,,,,,,B.P,,,,,Eskdale No. 12,,,,,,,,,,,,,,,,,,,,,,
,Eskdale No. 12,,NZ,485700,508200,Burley1984currently_pg44_from_161,,BP,,y,BHT,,,1,,1873,n,,,,1963,Eskdale No. 12,,,,ESKDALE NO.12,,,,,,,,,,,,,,B.P,,,,,Eskdale No. 12,,,,,,,,,,,,,,,,,,,,,,
,Seal Sands,seal_sands,NZ,453800,523800,Burley1984currently_pg43_from_161,,,BP archive reports; TGS scans,yn,BHT,,,1,,4170,n,,,1974/1975,1975,Seal Sands,,,,SEAL SANDS,NZ52SW308 (917593),,SEAL SANDS 1,,,,SEAL SANDS 1,,,,,,,MON,,,003035,y,Seal Sands,,n,n,y,,ukogl_well_tops,,,,,,,,,,,,,,,,
