z_m,z_quoted_error_m,z_assigned_error_m,T,T_quoted_error,T_assigned_error
3.06,0.03,0.03,8.72,0.01,0.25
6.12,0.03,0.03,8.64,0.01,0.25
9.18,0.03,0.03,8.67,0.01,0.25
12.24,0.03,0.03,9.11,0.01,0.25
15.29,0.03,0.03,9.47,0.01,0.25
18.35,0.03,0.03,9.5,0.01,0.25
21.41,0.03,0.03,9.54,0.01,0.25
24.47,0.03,0.03,9.6,0.01,0.25
27.53,0.03,0.03,9.64,0.01,0.25
30.59,0.03,0.03,9.68,0.01,0.25
33.65,0.03,0.03,9.71,0.01,0.25
36.71,0.03,0.03,9.74,0.01,0.25
39.77,0.03,0.03,9.77,0.01,0.25
42.82,0.03,0.03,9.79,0.01,0.25
45.88,0.03,0.03,9.88,0.01,0.25
48.94,0.03,0.03,9.84,0.01,0.25
52.0,0.03,0.03,9.89,0.01,0.25
55.06,0.03,0.03,9.93,0.01,0.25
58.12,0.03,0.03,9.96,0.01,0.25
61.18,0.03,0.03,10.0,0.01,0.25
64.24,0.03,0.03,10.03,0.01,0.25
67.3,0.03,0.03,10.07,0.01,0.25
70.35,0.03,0.03,10.11,0.01,0.25
73.41,0.03,0.03,10.15,0.01,0.25
76.47,0.03,0.03,10.19,0.01,0.25
79.53,0.03,0.03,10.21,0.01,0.25
82.59,0.03,0.03,10.25,0.01,0.25
85.65,0.03,0.03,10.28,0.01,0.25
88.71,0.03,0.03,10.33,0.01,0.25
91.77,0.03,0.03,10.36,0.01,0.25
94.83,0.03,0.03,10.4,0.01,0.25
97.88,0.03,0.03,10.46,0.01,0.25
100.94,0.03,0.03,10.49,0.01,0.25
104.0,0.03,0.03,10.52,0.01,0.25
107.06,0.03,0.03,10.56,0.01,0.25
110.12,0.03,0.03,10.61,0.01,0.25
113.18,0.03,0.03,10.65,0.01,0.25
116.24,0.03,0.03,10.69,0.01,0.25
119.3,0.03,0.03,10.74,0.01,0.25
122.36,0.03,0.03,10.8,0.01,0.25
125.41,0.03,0.03,10.84,0.01,0.25
128.47,0.03,0.03,10.89,0.01,0.25
131.53,0.03,0.03,10.92,0.01,0.25
134.59,0.03,0.03,10.96,0.01,0.25
137.65,0.03,0.03,11.01,0.01,0.25
140.71,0.03,0.03,11.06,0.01,0.25
143.77,0.03,0.03,11.13,0.01,0.25
146.83,0.03,0.03,11.17,0.01,0.25
149.89,0.03,0.03,11.23,0.01,0.25
152.94,0.03,0.03,11.26,0.01,0.25
156.0,0.03,0.03,11.31,0.01,0.25
159.06,0.03,0.03,11.36,0.01,0.25
162.12,0.03,0.03,11.39,0.01,0.25
165.18,0.03,0.03,11.43,0.01,0.25
168.24,0.03,0.03,11.48,0.01,0.25
171.3,0.03,0.03,11.53,0.01,0.25
174.36,0.03,0.03,11.56,0.01,0.25
177.42,0.03,0.03,11.62,0.01,0.25
180.47,0.03,0.03,11.67,0.01,0.25
183.53,0.03,0.03,11.72,0.01,0.25
186.59,0.03,0.03,11.78,0.01,0.25
189.65,0.03,0.03,11.84,0.01,0.25
192.71,0.03,0.03,11.91,0.01,0.25
195.77,0.03,0.03,11.99,0.01,0.25
198.83,0.03,0.03,12.06,0.01,0.25
201.89,0.03,0.03,12.13,0.01,0.25
204.95,0.03,0.03,12.21,0.01,0.25
208.0,0.03,0.03,12.27,0.01,0.25
211.06,0.03,0.03,12.34,0.01,0.25
214.12,0.03,0.03,12.41,0.01,0.25
217.18,0.03,0.03,12.49,0.01,0.25
220.24,0.03,0.03,12.57,0.01,0.25
223.3,0.03,0.03,12.64,0.01,0.25
226.36,0.03,0.03,12.7,0.01,0.25
229.42,0.03,0.03,12.78,0.01,0.25
232.48,0.03,0.03,12.86,0.01,0.25
235.53,0.03,0.03,12.96,0.01,0.25
238.59,0.03,0.03,13.05,0.01,0.25
241.65,0.03,0.03,13.13,0.01,0.25
244.71,0.03,0.03,13.2,0.01,0.25
247.77,0.03,0.03,13.29,0.01,0.25
250.83,0.03,0.03,13.33,0.01,0.25
253.89,0.03,0.03,13.4,0.01,0.25
256.95,0.03,0.03,13.47,0.01,0.25
260.01,0.03,0.03,13.57,0.01,0.25
263.06,0.03,0.03,13.63,0.01,0.25
266.12,0.03,0.03,13.72,0.01,0.25
269.18,0.03,0.03,13.78,0.01,0.25
272.24,0.03,0.03,13.81,0.01,0.25
275.3,0.03,0.03,13.83,0.01,0.25
278.36,0.03,0.03,13.88,0.01,0.25
281.42,0.03,0.03,13.92,0.01,0.25
284.48,0.03,0.03,13.97,0.01,0.25
287.54,0.03,0.03,14.01,0.01,0.25
290.6,0.03,0.03,14.04,0.01,0.25
293.65,0.03,0.03,14.07,0.01,0.25
296.71,0.03,0.03,14.11,0.01,0.25
299.77,0.03,0.03,14.19,0.01,0.25
302.83,0.03,0.03,14.29,0.01,0.25
305.89,0.03,0.03,14.29,0.01,0.25
308.95,0.03,0.03,14.32,0.01,0.25
312.01,0.03,0.03,14.35,0.01,0.25
315.07,0.03,0.03,14.37,0.01,0.25
318.13,0.03,0.03,14.42,0.01,0.25
321.18,0.03,0.03,14.47,0.01,0.25
324.24,0.03,0.03,14.56,0.01,0.25
327.3,0.03,0.03,14.67,0.01,0.25
330.36,0.03,0.03,14.72,0.01,0.25
333.42,0.03,0.03,14.76,0.01,0.25
336.48,0.03,0.03,14.79,0.01,0.25
339.54,0.03,0.03,14.84,0.01,0.25
342.6,0.03,0.03,14.87,0.01,0.25
345.66,0.03,0.03,14.93,0.01,0.25
348.71,0.03,0.03,14.97,0.01,0.25
351.77,0.03,0.03,15.0,0.01,0.25
354.83,0.03,0.03,15.08,0.01,0.25
360.95,0.03,0.03,15.12,0.01,0.25
364.01,0.03,0.03,15.15,0.01,0.25
367.07,0.03,0.03,15.19,0.01,0.25
370.13,0.03,0.03,15.23,0.01,0.25
373.19,0.03,0.03,15.27,0.01,0.25
376.24,0.03,0.03,15.31,0.01,0.25
379.3,0.03,0.03,15.34,0.01,0.25
382.36,0.03,0.03,15.38,0.01,0.25
385.42,0.03,0.03,15.42,0.01,0.25
388.48,0.03,0.03,15.45,0.01,0.25
391.54,0.03,0.03,15.49,0.01,0.25
394.6,0.03,0.03,15.53,0.01,0.25
397.66,0.03,0.03,15.58,0.01,0.25
400.72,0.03,0.03,15.62,0.01,0.25
403.77,0.03,0.03,15.66,0.01,0.25
406.83,0.03,0.03,15.7,0.01,0.25
409.89,0.03,0.03,15.73,0.01,0.25
412.95,0.03,0.03,15.76,0.01,0.25
416.01,0.03,0.03,15.8,0.01,0.25
419.07,0.03,0.03,15.84,0.01,0.25
422.13,0.03,0.03,15.88,0.01,0.25
425.19,0.03,0.03,15.92,0.01,0.25
428.25,0.03,0.03,15.96,0.01,0.25
431.3,0.03,0.03,16.0,0.01,0.25
434.36,0.03,0.03,16.03,0.01,0.25
437.42,0.03,0.03,16.07,0.01,0.25
440.48,0.03,0.03,16.11,0.01,0.25
443.54,0.03,0.03,16.14,0.01,0.25
446.6,0.03,0.03,16.18,0.01,0.25
449.66,0.03,0.03,16.22,0.01,0.25
452.72,0.03,0.03,16.26,0.01,0.25
455.78,0.03,0.03,16.31,0.01,0.25
458.83,0.03,0.03,16.36,0.01,0.25
461.89,0.03,0.03,16.39,0.01,0.25
464.95,0.03,0.03,16.45,0.01,0.25
468.01,0.03,0.03,16.5,0.01,0.25
471.07,0.03,0.03,16.54,0.01,0.25
474.13,0.03,0.03,16.58,0.01,0.25
477.19,0.03,0.03,16.62,0.01,0.25
480.25,0.03,0.03,16.62,0.01,0.25
483.31,0.03,0.03,16.7,0.01,0.25
486.36,0.03,0.03,16.77,0.01,0.25
489.42,0.03,0.03,16.84,0.01,0.25
492.48,0.03,0.03,16.9,0.01,0.25
495.54,0.03,0.03,16.96,0.01,0.25
498.6,0.03,0.03,17.01,0.01,0.25
501.66,0.03,0.03,17.06,0.01,0.25
504.72,0.03,0.03,17.1,0.01,0.25
507.78,0.03,0.03,17.16,0.01,0.25
510.84,0.03,0.03,17.19,0.01,0.25
513.89,0.03,0.03,17.23,0.01,0.25
516.95,0.03,0.03,17.27,0.01,0.25
520.01,0.03,0.03,17.32,0.01,0.25
523.07,0.03,0.03,17.4,0.01,0.25
526.13,0.03,0.03,17.46,0.01,0.25
529.19,0.03,0.03,17.51,0.01,0.25
532.25,0.03,0.03,17.57,0.01,0.25
535.31,0.03,0.03,17.62,0.01,0.25
538.37,0.03,0.03,17.67,0.01,0.25
541.42,0.03,0.03,17.71,0.01,0.25
544.48,0.03,0.03,17.75,0.01,0.25
547.54,0.03,0.03,17.8,0.01,0.25
550.6,0.03,0.03,17.91,0.01,0.25
553.66,0.03,0.03,17.97,0.01,0.25
556.72,0.03,0.03,18.04,0.01,0.25
559.78,0.03,0.03,18.09,0.01,0.25
562.84,0.03,0.03,18.17,0.01,0.25
565.9,0.03,0.03,18.23,0.01,0.25
568.95,0.03,0.03,18.28,0.01,0.25
572.01,0.03,0.03,18.32,0.01,0.25
575.07,0.03,0.03,18.36,0.01,0.25
578.13,0.03,0.03,18.4,0.01,0.25
581.19,0.03,0.03,18.46,0.01,0.25
584.25,0.03,0.03,18.54,0.01,0.25
