,Depth(m),Depth_error(m),Conductivity(Wm-1K-1),Conductivity_error(Wm-1K-1)
0,10.0,,1.4,
1,19.0,,1.3,
2,20.0,,3.1,
3,25.0,,2.1,
4,31.0,,2.5,
5,36.0,,2.2,
6,41.0,,2.2,
7,51.0,,4.2,
8,54.0,,3.6,
9,61.0,,2.2,
10,64.0,,3.2,
11,70.0,,2.7,
12,73.0,,2.8,
13,80.0,,3.3,
14,83.0,,5.3,
15,89.0,,2.5,
16,99.0,,3.4,
17,102.0,,3.0,
18,111.0,,2.44,
19,115.0,,2.15,
20,121.0,,1.79,
21,127.0,,2.3,
22,133.0,,2.86,
23,140.0,,3.0,
24,143.0,,2.54,
25,149.0,,2.12,
26,160.0,,2.51,
27,163.0,,3.61,
28,171.0,,3.05,
29,181.0,,3.26,
30,184.0,,2.51,
31,191.0,,2.13,
32,194.0,,2.26,
33,200.0,,1.78,
34,206.0,,1.78,
35,217.0,,1.66,
36,225.0,,1.78,
37,231.0,,1.6,
38,234.0,,1.67,
39,241.0,,1.47,
40,244.0,,1.7,
41,250.0,,2.0,
42,236.0,,2.15,
43,262.0,,1.79,
44,271.0,,2.2,
45,274.0,,2.58,
46,281.0,,3.35,
47,284.0,,2.65,
48,291.0,,2.91,
49,294.0,,2.94,
50,300.0,,2.19,
51,303.0,,1.45,
52,309.0,,2.77,
53,312.0,,3.13,
54,319.0,,3.14,
55,322.0,,2.51,
56,334.0,,2.35,
57,341.0,,2.18,
58,344.0,,2.33,
59,350.0,,3.55,
60,354.0,,3.3,
61,360.0,,3.27,
62,363.0,,4.02,
63,373.0,,3.6,
64,378.0,,3.07,
65,386.0,,3.59,
66,394.0,,3.49,
67,406.0,,3.9,
68,409.0,,3.25,
69,421.0,,3.31,
70,429.0,,2.36,
71,430.0,,3.77,
72,440.0,,3.27,
73,443.0,,4.03,
74,455.0,,2.86,
75,456.0,,2.97,
76,464.0,,3.33,
77,471.0,,3.26,
78,493.0,,2.76,
79,502.5,,3.45,
80,510.0,,3.54,
81,513.0,,3.59,
82,519.0,,3.07,
83,522.0,,3.68,
84,532.5,,2.84,
85,544.0,,2.51,
86,555.5,,2.37,
87,565.0,,2.48,
88,577.0,,1.89,
89,583.0,,2.52,
