Depth(m)	Depth_error(m)	Conductivity(Wm-1K-1)	Conductivity_error(Wm-1K-1)
10.00	NaN	1.40	NaN
19.00	NaN	1.30	NaN
20.00	NaN	3.10	NaN
25.00	NaN	2.10	NaN
31.00	NaN	2.50	NaN
36.00	NaN	2.20	NaN
41.00	NaN	2.20	NaN
51.00	NaN	4.20	NaN
54.00	NaN	3.60	NaN
61.00	NaN	2.20	NaN
64.00	NaN	3.20	NaN
70.00	NaN	2.70	NaN
73.00	NaN	2.80	NaN
80.00	NaN	3.30	NaN
83.00	NaN	5.30	NaN
89.00	NaN	2.50	NaN
99.00	NaN	3.40	NaN
102.00	NaN	3.00	NaN
111.00	NaN	2.44	NaN
115.00	NaN	2.15	NaN
121.00	NaN	1.79	NaN
127.00	NaN	2.30	NaN
133.00	NaN	2.86	NaN
140.00	NaN	3.00	NaN
143.00	NaN	2.54	NaN
149.00	NaN	2.12	NaN
160.00	NaN	2.51	NaN
163.00	NaN	3.61	NaN
171.00	NaN	3.05	NaN
181.00	NaN	3.26	NaN
184.00	NaN	2.51	NaN
191.00	NaN	2.13	NaN
194.00	NaN	2.26	NaN
200.00	NaN	1.78	NaN
206.00	NaN	1.78	NaN
217.00	NaN	1.66	NaN
225.00	NaN	1.78	NaN
231.00	NaN	1.60	NaN
234.00	NaN	1.67	NaN
241.00	NaN	1.47	NaN
244.00	NaN	1.70	NaN
250.00	NaN	2.00	NaN
256.00	NaN	2.15	NaN
262.00	NaN	1.79	NaN
271.00	NaN	2.20	NaN
274.00	NaN	2.58	NaN
281.00	NaN	3.35	NaN
284.00	NaN	2.65	NaN
291.00	NaN	2.91	NaN
294.00	NaN	2.94	NaN
300.00	NaN	2.19	NaN
303.00	NaN	1.45	NaN
309.00	NaN	2.77	NaN
312.00	NaN	3.13	NaN
319.00	NaN	3.14	NaN
322.00	NaN	2.51	NaN
334.00	NaN	2.35	NaN
341.00	NaN	2.18	NaN
344.00	NaN	2.33	NaN
350.00	NaN	3.55	NaN
354.00	NaN	3.30	NaN
360.00	NaN	3.27	NaN
363.00	NaN	4.02	NaN
373.00	NaN	3.60	NaN
378.00	NaN	3.07	NaN
386.00	NaN	3.59	NaN
394.00	NaN	3.49	NaN
406.00	NaN	3.90	NaN
409.00	NaN	3.25	NaN
421.00	NaN	3.31	NaN
429.00	NaN	2.36	NaN
430.00	NaN	3.77	NaN
440.00	NaN	3.27	NaN
443.00	NaN	4.03	NaN
455.00	NaN	2.86	NaN
456.00	NaN	2.97	NaN
464.00	NaN	3.33	NaN
471.00	NaN	3.26	NaN
493.00	NaN	2.76	NaN
502.50	NaN	3.45	NaN
510.00	NaN	3.54	NaN
513.00	NaN	3.59	NaN
519.00	NaN	3.07	NaN
522.00	NaN	3.68	NaN
532.50	NaN	2.84	NaN
544.00	NaN	2.51	NaN
555.50	NaN	2.37	NaN
566.00	NaN	2.48	NaN
577.00	NaN	1.89	NaN
583.00	NaN	2.52	NaN
