,Depth(m),Depth_error(m),Temperature(degrees_C),Temperature_error(degrees_C)
0,3.06,0.03,8.72,0.01
1,6.12,0.03,8.64,0.01
2,9.18,0.03,8.67,0.01
3,12.24,0.03,9.11,0.01
4,15.29,0.03,9.47,0.01
5,18.35,0.03,9.5,0.01
6,21.41,0.03,9.54,0.01
7,24.47,0.03,9.6,0.01
8,27.53,0.03,9.64,0.01
9,30.59,0.03,9.68,0.01
10,33.65,0.03,9.71,0.01
11,36.71,0.03,9.74,0.01
12,39.77,0.03,9.77,0.01
13,42.82,0.03,9.79,0.01
14,45.88,0.03,9.88,0.01
15,48.94,0.03,9.84,0.01
16,52.0,0.03,9.89,0.01
17,55.06,0.03,9.93,0.01
18,58.12,0.03,9.96,0.01
19,61.18,0.03,10.0,0.01
20,64.24,0.03,10.03,0.01
21,67.3,0.03,10.07,0.01
22,70.35,0.03,10.11,0.01
23,73.41,0.03,10.15,0.01
24,76.47,0.03,10.19,0.01
25,79.53,0.03,10.21,0.01
26,82.59,0.03,10.25,0.01
27,85.65,0.03,10.28,0.01
28,88.71,0.03,10.33,0.01
29,91.77,0.03,10.36,0.01
30,94.83,0.03,10.4,0.01
31,97.88,0.03,10.46,0.01
32,100.94,0.03,10.49,0.01
33,104.0,0.03,10.52,0.01
34,107.06,0.03,10.56,0.01
35,110.12,0.03,10.61,0.01
36,113.18,0.03,10.65,0.01
37,116.24,0.03,10.69,0.01
38,119.3,0.03,10.74,0.01
39,122.36,0.03,10.8,0.01
40,125.41,0.03,10.84,0.01
41,128.47,0.03,10.89,0.01
42,131.53,0.03,10.92,0.01
43,134.59,0.03,10.96,0.01
44,137.65,0.03,11.01,0.01
45,140.71,0.03,11.06,0.01
46,143.77,0.03,11.13,0.01
47,146.83,0.03,11.17,0.01
48,149.89,0.03,11.23,0.01
49,152.94,0.03,11.26,0.01
50,156.0,0.03,11.31,0.01
51,159.06,0.03,11.36,0.01
52,162.12,0.03,11.39,0.01
53,165.18,0.03,11.43,0.01
54,168.24,0.03,11.48,0.01
55,171.3,0.03,11.53,0.01
56,174.36,0.03,11.56,0.01
57,177.42,0.03,11.62,0.01
58,180.47,0.03,11.67,0.01
59,183.53,0.03,11.72,0.01
60,186.59,0.03,11.78,0.01
61,189.65,0.03,11.84,0.01
62,192.71,0.03,11.91,0.01
