Depth(m)	Depth_error(m)	Temperature(degrees_C)	Temperature_error(degrees_C)
3.06	0.03	8.72	0.01
6.12	0.03	8.64	0.01
9.18	0.03	8.67	0.01
12.24	0.03	9.11	0.01
15.29	0.03	9.47	0.01
18.35	0.03	9.50	0.01
21.41	0.03	9.54	0.01
24.47	0.03	9.60	0.01
27.53	0.03	9.64	0.01
30.59	0.03	9.68	0.01
33.65	0.03	9.71	0.01
36.71	0.03	9.74	0.01
39.77	0.03	9.77	0.01
42.82	0.03	9.79	0.01
45.88	0.03	9.88	0.01
48.94	0.03	9.84	0.01
52.00	0.03	9.89	0.01
55.06	0.03	9.93	0.01
58.12	0.03	9.96	0.01
61.18	0.03	10.00	0.01
64.24	0.03	10.03	0.01
67.30	0.03	10.07	0.01
70.35	0.03	10.11	0.01
73.41	0.03	10.15	0.01
76.47	0.03	10.19	0.01
79.53	0.03	10.21	0.01
82.59	0.03	10.25	0.01
85.65	0.03	10.28	0.01
88.71	0.03	10.33	0.01
91.77	0.03	10.36	0.01
94.83	0.03	10.40	0.01
97.88	0.03	10.46	0.01
100.94	0.03	10.49	0.01
104.00	0.03	10.52	0.01
107.06	0.03	10.56	0.01
110.12	0.03	10.61	0.01
113.18	0.03	10.65	0.01
116.24	0.03	10.69	0.01
119.30	0.03	10.74	0.01
122.36	0.03	10.80	0.01
125.41	0.03	10.84	0.01
128.47	0.03	10.89	0.01
131.53	0.03	10.92	0.01
134.59	0.03	10.96	0.01
137.65	0.03	11.01	0.01
140.71	0.03	11.06	0.01
143.77	0.03	11.13	0.01
146.83	0.03	11.17	0.01
149.89	0.03	11.23	0.01
152.94	0.03	11.26	0.01
156.00	0.03	11.31	0.01
159.06	0.03	11.36	0.01
162.12	0.03	11.39	0.01
165.18	0.03	11.43	0.01
168.24	0.03	11.48	0.01
171.30	0.03	11.53	0.01
174.36	0.03	11.56	0.01
177.42	0.03	11.62	0.01
180.47	0.03	11.67	0.01
183.53	0.03	11.72	0.01
186.59	0.03	11.78	0.01
189.65	0.03	11.84	0.01
192.71	0.03	11.91	0.01
195.77	0.03	11.99	0.01
198.83	0.03	12.06	0.01
201.89	0.03	12.13	0.01
204.95	0.03	12.21	0.01
208.00	0.03	12.27	0.01
211.06	0.03	12.34	0.01
214.12	0.03	12.41	0.01
217.18	0.03	12.49	0.01
220.24	0.03	12.57	0.01
223.30	0.03	12.64	0.01
226.36	0.03	12.70	0.01
229.42	0.03	12.78	0.01
232.48	0.03	12.86	0.01
235.53	0.03	12.96	0.01
238.59	0.03	13.05	0.01
241.65	0.03	13.13	0.01
244.71	0.03	13.20	0.01
247.77	0.03	13.29	0.01
250.83	0.03	13.33	0.01
253.89	0.03	13.40	0.01
256.95	0.03	13.47	0.01
260.01	0.03	13.57	0.01
263.06	0.03	13.63	0.01
266.12	0.03	13.72	0.01
269.18	0.03	13.78	0.01
272.24	0.03	13.81	0.01
275.30	0.03	13.83	0.01
278.36	0.03	13.88	0.01
281.42	0.03	13.92	0.01
284.48	0.03	13.97	0.01
287.54	0.03	14.01	0.01
290.60	0.03	14.04	0.01
293.65	0.03	14.07	0.01
296.71	0.03	14.11	0.01
299.77	0.03	14.19	0.01
302.83	0.03	14.29	0.01
305.89	0.03	14.29	0.01
308.95	0.03	14.32	0.01
312.01	0.03	14.35	0.01
315.07	0.03	14.37	0.01
318.13	0.03	14.42	0.01
321.18	0.03	14.47	0.01
324.24	0.03	14.56	0.01
327.30	0.03	14.67	0.01
330.36	0.03	14.72	0.01
333.42	0.03	14.76	0.01
336.48	0.03	14.79	0.01
339.54	0.03	14.84	0.01
342.60	0.03	14.87	0.01
345.66	0.03	14.93	0.01
348.71	0.03	14.97	0.01
351.77	0.03	15.00	0.01
354.83	0.03	15.08	0.01
360.95	0.03	15.12	0.01
364.01	0.03	15.15	0.01
367.07	0.03	15.19	0.01
370.13	0.03	15.23	0.01
373.19	0.03	15.27	0.01
376.24	0.03	15.31	0.01
379.30	0.03	15.34	0.01
382.36	0.03	15.38	0.01
385.42	0.03	15.42	0.01
388.48	0.03	15.45	0.01
391.54	0.03	15.49	0.01
394.60	0.03	15.53	0.01
397.66	0.03	15.58	0.01
400.72	0.03	15.62	0.01
403.77	0.03	15.66	0.01
406.83	0.03	15.70	0.01
409.89	0.03	15.73	0.01
412.95	0.03	15.76	0.01
416.01	0.03	15.80	0.01
419.07	0.03	15.84	0.01
422.13	0.03	15.88	0.01
425.19	0.03	15.92	0.01
428.25	0.03	15.96	0.01
431.30	0.03	16.00	0.01
434.36	0.03	16.03	0.01
437.42	0.03	16.07	0.01
440.48	0.03	16.11	0.01
443.54	0.03	16.14	0.01
446.60	0.03	16.18	0.01
449.66	0.03	16.22	0.01
452.72	0.03	16.26	0.01
455.78	0.03	16.31	0.01
458.83	0.03	16.36	0.01
461.89	0.03	16.39	0.01
464.95	0.03	16.45	0.01
468.01	0.03	16.50	0.01
471.07	0.03	16.54	0.01
474.13	0.03	16.58	0.01
477.19	0.03	16.62	0.01
480.25	0.03	16.62	0.01
483.31	0.03	16.70	0.01
486.36	0.03	16.77	0.01
489.42	0.03	16.84	0.01
492.48	0.03	16.90	0.01
495.54	0.03	16.96	0.01
498.60	0.03	17.01	0.01
501.66	0.03	17.06	0.01
504.72	0.03	17.10	0.01
507.78	0.03	17.16	0.01
510.84	0.03	17.19	0.01
513.89	0.03	17.23	0.01
516.95	0.03	17.27	0.01
520.01	0.03	17.32	0.01
523.07	0.03	17.40	0.01
526.13	0.03	17.46	0.01
529.19	0.03	17.51	0.01
532.25	0.03	17.57	0.01
535.31	0.03	17.62	0.01
538.37	0.03	17.67	0.01
541.42	0.03	17.71	0.01
544.48	0.03	17.75	0.01
547.54	0.03	17.80	0.01
550.60	0.03	17.91	0.01
553.66	0.03	17.97	0.01
556.72	0.03	18.04	0.01
559.78	0.03	18.09	0.01
562.84	0.03	18.17	0.01
565.90	0.03	18.23	0.01
568.95	0.03	18.28	0.01
