"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Lias","Lower Jurassic","98","30.0","-30","-9.0","",""
"Rhaetic","Upper Triassic","1148","350.0","1020","311.0","",""
"Keuper Marl","Lower Triassic","1198","365.0","1070","326.0","",""
"Bunter Sandstone","Lower Triassic","2051","625.0","1923","586.0","",""
"?Permian","Permian","3051","930.0","2923","891.0","",""
"Upper Halite","Middle-Upper Permian","3451","1052.0","3323","1013.0","",""
"Anhydrite","Middle-Upper Permian","3593","1095.0","3465","1056.0","",""
"Mudstone-Halite","Middle-Upper Permian","3622","1104.0","3494","1065.0","",""
"Boulby Potash","Middle-Upper Permian","3658","1115.0","3530","1076.0","",""
"Boulby Halite","Middle-Upper Permian","3673","1119.6","3545","1080.6","",""
"Main Permian Anhydrite","Permian","3806","1160.0","3678","1121.0","","Main Permian Anhydrite"
"TD (Main Permian Anhydrite)","Permian","3806","1160.0","3678","1121.0","",""
