"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Lower Lias","Lower Jurassic","13","4.0","-368","-112.2","-0.062",""
"Rhaetic","Upper Triassic","240","73.1","-141","-43.0","-0.024",""
"Keuper","Upper Triassic","290","88.4","-91","-27.7","-0.015",""
"Bunter Sandstone","Lower Triassic","935","285.0","554","168.9","0.091",""
"Saliferous Marl","Lower Triassic","1750","533.4","1369","417.3","0.231",""
"Upper Evaporites","Upper Permian","1820","554.7","1439","438.6","0.242",""
"Upper Magnesian Limestone","Upper Permian","1855","565.4","1474","449.3","0.246",""
"Middle Magnesian Limestone","Middle-Upper Permian","1930","588.2","1549","472.1","0.254",""
"Lower Magnesian Limestone","Lower Permian","2220","676.6","1839","560.5","0.286",""
"Marl Slate & Breccia","Upper Carboniferous","2300","701.0","1919","584.9","0.295",""
"?Namurian","Middle Carboniferous","2315","705.6","1934","589.5","0.296",""
"?Dinantian","Lower Carboniferous","2980","908.3","2599","792.1","0.394",""
"TD (Carboniferous Limestone-Sandstone?)","Lower Carboniferous","3549","1081.7","3168","965.6","0.473",""
