"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Lias","Lower Jurassic","47","14.3","-29","-8.8","",""
"Penarth Group (Rhaetic)","Upper Triassic","421","128.3","345","105.2","",""
"Mercia Mudstone (Keuper)","Lower Triassic","460","140.2","384","117.0","",""
"Triassic Sandstone (Bunter)","Lower Triassic","1148","349.9","1072","326.7","",""
"Bunter Shale (Lower Bunter)","Lower Triassic","1978","602.9","1902","579.7","","Saliferous Marl"
"Zechstein (Upper Permian)","Upper Permian","2187","666.6","2111","643.4","",""
"Upper Magnesian Limestone","Upper Permian","2404","732.7","2328","709.5","",""
"Rotliegendes-Leman Sandstone","Lower Permian","3125","952.5","3049","929.3","",""
"Namurian","Middle Carboniferous","3154","961.3","3078","938.1","",""
"TD (Namurian)","Middle Carboniferous","3736","1138.7","3660","1115.5","",""
