Depth(m)	Depth_error(m)	Conductivity(Wm-1K-1)	Conductivity_error(Wm-1K-1)
100.00	NA	3.00	NA
152.40	NA	2.60	NA
167.64	NA	2.54	NA
182.88	NA	2.51	NA
198.12	NA	2.85	NA
213.36	NA	2.49	NA
228.60	NA	2.56	NA
243.84	NA	4.68	NA
259.08	NA	2.39	NA
274.32	NA	4.14	NA
289.56	NA	3.95	NA
304.80	NA	2.30	NA
320.04	NA	2.74	NA
335.28	NA	2.18	NA
350.52	NA	2.40	NA
365.76	NA	2.73	NA
381.00	NA	3.18	NA
396.24	NA	3.04	NA
411.48	NA	1.88	NA
426.72	NA	2.62	NA
441.96	NA	2.85	NA
457.20	NA	3.20	NA
472.44	NA	2.61	NA
487.68	NA	2.32	NA
502.92	NA	2.36	NA
518.16	NA	2.15	NA
533.40	NA	2.33	NA
548.64	NA	3.58	NA
563.88	NA	3.14	NA
579.12	NA	2.46	NA
594.36	NA	3.02	NA
609.60	NA	2.46	NA
624.84	NA	2.53	NA
640.08	NA	3.15	NA
655.32	NA	3.52	NA
670.56	NA	2.42	NA
685.80	NA	2.29	NA
701.04	NA	3.26	NA
716.28	NA	3.28	NA
731.52	NA	2.69	NA
746.76	NA	2.61	NA
762.00	NA	2.30	NA
777.24	NA	2.72	NA
792.48	NA	2.67	NA
807.72	NA	3.53	NA
822.96	NA	3.23	NA
838.20	NA	2.18	NA
853.44	NA	2.45	NA
868.68	NA	2.93	NA
883.92	NA	3.65	NA
899.16	NA	2.77	NA
914.40	NA	2.69	NA
929.64	NA	2.65	NA
944.88	NA	2.68	NA
975.36	NA	3.29	NA
990.60	NA	2.89	NA
1005.80	NA	2.83	NA
1021.10	NA	2.72	NA
1036.30	NA	2.93	NA
1051.60	NA	2.71	NA
1066.80	NA	2.32	NA
1082.00	NA	3.58	NA
1097.30	NA	3.52	NA
1112.50	NA	3.36	NA
1127.80	NA	2.61	NA
1143.00	NA	2.79	NA
1158.20	NA	3.08	NA
1173.50	NA	3.18	NA
1188.70	NA	2.77	NA
1204.00	NA	3.39	NA
1219.20	NA	3.80	NA
1234.40	NA	4.84	NA
1249.70	NA	2.96	NA
1264.90	NA	2.47	NA
1280.20	NA	2.78	NA
1295.40	NA	3.34	NA
1310.60	NA	2.51	NA
1325.90	NA	2.84	NA
1341.10	NA	4.30	NA
1356.40	NA	3.88	NA
1371.60	NA	3.62	NA
1386.80	NA	3.31	NA
1402.10	NA	3.17	NA
1417.30	NA	2.51	NA
1432.60	NA	3.73	NA
1447.80	NA	3.27	NA
1463.00	NA	2.33	NA
1478.30	NA	2.92	NA
1493.50	NA	3.51	NA
1508.80	NA	3.12	NA
1524.00	NA	4.06	NA
1539.20	NA	2.37	NA
1554.50	NA	2.79	NA
1569.70	NA	3.02	NA
1585.00	NA	3.30	NA
1600.20	NA	2.50	NA
1615.40	NA	2.79	NA
1630.70	NA	3.32	NA
1645.90	NA	2.32	NA
1661.20	NA	2.48	NA
1676.40	NA	3.06	NA
1691.60	NA	2.20	NA
1706.90	NA	3.83	NA
1722.10	NA	2.48	NA
1737.40	NA	2.81	NA
1752.60	NA	3.07	NA
1767.80	NA	2.91	NA
1783.10	NA	2.46	NA
1798.30	NA	3.33	NA
1813.60	NA	2.43	NA
1828.80	NA	3.03	NA
