z_m,z_quoted_error_m,z_assigned_error_m,T,T_quoted_error,T_assigned_error
12.21,0.03,0.03,7.95,0.01,0.25
15.26,0.03,0.03,8.23,0.01,0.25
18.32,0.03,0.03,8.33,0.01,0.25
21.37,0.03,0.03,8.42,0.01,0.25
24.42,0.03,0.03,8.53,0.01,0.25
27.48,0.03,0.03,8.6,0.01,0.25
30.53,0.03,0.03,8.71,0.01,0.25
33.58,0.03,0.03,8.83,0.01,0.25
36.63,0.03,0.03,8.93,0.01,0.25
39.69,0.03,0.03,9.04,0.01,0.25
42.74,0.03,0.03,9.16,0.01,0.25
45.79,0.03,0.03,9.31,0.01,0.25
48.84,0.03,0.03,9.43,0.01,0.25
51.9,0.03,0.03,9.55,0.01,0.25
54.95,0.03,0.03,9.67,0.01,0.25
58.0,0.03,0.03,9.83,0.01,0.25
61.06,0.03,0.03,9.97,0.01,0.25
61.09,0.03,0.03,9.94,0.01,0.25
64.11,0.03,0.03,10.1,0.01,0.25
67.16,0.03,0.03,10.25,0.01,0.25
70.21,0.03,0.03,10.41,0.01,0.25
73.27,0.03,0.03,10.51,0.01,0.25
76.32,0.03,0.03,10.6,0.01,0.25
79.37,0.03,0.03,10.72,0.01,0.25
82.43,0.03,0.03,10.84,0.01,0.25
85.48,0.03,0.03,10.94,0.01,0.25
88.53,0.03,0.03,11.06,0.01,0.25
91.58,0.03,0.03,11.17,0.01,0.25
94.64,0.03,0.03,11.33,0.01,0.25
97.69,0.03,0.03,11.44,0.01,0.25
100.74,0.03,0.03,11.53,0.01,0.25
103.8,0.03,0.03,11.62,0.01,0.25
106.85,0.03,0.03,11.68,0.01,0.25
109.9,0.03,0.03,11.75,0.01,0.25
112.95,0.03,0.03,11.82,0.01,0.25
116.01,0.03,0.03,11.91,0.01,0.25
119.06,0.03,0.03,12.01,0.01,0.25
122.11,0.03,0.03,12.1,0.01,0.25
125.17,0.03,0.03,12.19,0.01,0.25
128.22,0.03,0.03,12.27,0.01,0.25
131.27,0.03,0.03,12.37,0.01,0.25
134.32,0.03,0.03,12.49,0.01,0.25
137.38,0.03,0.03,12.58,0.01,0.25
140.43,0.03,0.03,12.65,0.01,0.25
143.48,0.03,0.03,12.68,0.01,0.25
146.53,0.03,0.03,12.81,0.01,0.25
149.59,0.03,0.03,12.99,0.01,0.25
152.64,0.03,0.03,13.09,0.01,0.25
155.69,0.03,0.03,13.21,0.01,0.25
158.75,0.03,0.03,13.33,0.01,0.25
161.8,0.03,0.03,13.45,0.01,0.25
164.85,0.03,0.03,13.56,0.01,0.25
167.9,0.03,0.03,13.65,0.01,0.25
170.96,0.03,0.03,13.73,0.01,0.25
174.01,0.03,0.03,13.85,0.01,0.25
177.06,0.03,0.03,14.0,0.01,0.25
180.12,0.03,0.03,14.13,0.01,0.25
183.17,0.03,0.03,14.28,0.01,0.25
186.22,0.03,0.03,14.38,0.01,0.25
189.27,0.03,0.03,14.51,0.01,0.25
192.33,0.03,0.03,14.64,0.01,0.25
195.38,0.03,0.03,14.8,0.01,0.25
198.43,0.03,0.03,14.97,0.01,0.25
201.48,0.03,0.03,15.12,0.01,0.25
204.54,0.03,0.03,15.28,0.01,0.25
207.59,0.03,0.03,15.43,0.01,0.25
210.64,0.03,0.03,15.59,0.01,0.25
213.7,0.03,0.03,15.73,0.01,0.25
216.75,0.03,0.03,15.88,0.01,0.25
219.8,0.03,0.03,16.03,0.01,0.25
222.85,0.03,0.03,16.17,0.01,0.25
225.91,0.03,0.03,16.3,0.01,0.25
228.96,0.03,0.03,16.41,0.01,0.25
232.01,0.03,0.03,16.45,0.01,0.25
235.07,0.03,0.03,16.52,0.01,0.25
238.12,0.03,0.03,16.58,0.01,0.25
241.17,0.03,0.03,16.63,0.01,0.25
244.22,0.03,0.03,16.68,0.01,0.25
246.67,0.03,0.03,16.72,0.01,0.25
