Depth(m)	Depth_error(m)	Conductivity(Wm-1K-1)	Conductivity_error(Wm-1K-1)
232.03	NA	4.97	NA
232.17	NA	5.49	NA
232.31	NA	5.71	NA
232.45	NA	5.60	NA
232.56	NA	5.71	NA
232.69	NA	5.68	NA
232.84	NA	5.54	NA
232.98	NA	5.23	NA
233.11	NA	5.14	NA
233.26	NA	5.65	NA
233.40	NA	5.60	NA
233.53	NA	5.61	NA
233.65	NA	5.64	NA
233.76	NA	3.87	NA
247.68	NA	3.11	NA
247.70	NA	3.60	NA
247.91	NA	3.57	NA
248.29	NA	3.33	NA
248.59	NA	3.40	NA
248.85	NA	2.61	NA
249.05	NA	3.54	NA
249.20	NA	3.63	NA
249.38	NA	3.61	NA
249.61	NA	2.98	NA
258.65	NA	3.54	NA
258.73	NA	3.90	NA
258.96	NA	3.61	NA
259.13	NA	3.29	NA
259.36	NA	3.88	NA
259.57	NA	3.88	NA
259.77	NA	3.67	NA
259.95	NA	3.84	NA
260.23	NA	3.66	NA
