Depth(m)	Depth_error(m)	Temperature(degrees_C)	Temperature_error(degrees_C)
12.21	0.03	7.95	0.01
15.26	0.03	8.23	0.01
18.32	0.03	8.33	0.01
21.37	0.03	8.42	0.01
24.42	0.03	8.53	0.01
27.48	0.03	8.60	0.01
30.53	0.03	8.71	0.01
33.58	0.03	8.83	0.01
36.63	0.03	8.93	0.01
39.69	0.03	9.04	0.01
42.74	0.03	9.16	0.01
45.79	0.03	9.31	0.01
48.84	0.03	9.43	0.01
51.90	0.03	9.55	0.01
54.95	0.03	9.67	0.01
58.00	0.03	9.83	0.01
61.06	0.03	9.97	0.01
61.09	0.03	9.94	0.01
64.11	0.03	10.10	0.01
67.16	0.03	10.25	0.01
70.21	0.03	10.41	0.01
73.27	0.03	10.51	0.01
76.32	0.03	10.60	0.01
79.37	0.03	10.72	0.01
82.43	0.03	10.84	0.01
85.48	0.03	10.94	0.01
88.53	0.03	11.06	0.01
91.58	0.03	11.17	0.01
94.64	0.03	11.33	0.01
97.69	0.03	11.44	0.01
100.74	0.03	11.53	0.01
103.80	0.03	11.62	0.01
106.85	0.03	11.68	0.01
109.90	0.03	11.75	0.01
112.95	0.03	11.82	0.01
116.01	0.03	11.91	0.01
119.06	0.03	12.01	0.01
122.11	0.03	12.10	0.01
125.17	0.03	12.19	0.01
128.22	0.03	12.27	0.01
131.27	0.03	12.37	0.01
134.32	0.03	12.49	0.01
137.38	0.03	12.58	0.01
140.43	0.03	12.65	0.01
143.48	0.03	12.68	0.01
146.53	0.03	12.81	0.01
149.59	0.03	12.99	0.01
152.64	0.03	13.09	0.01
155.69	0.03	13.21	0.01
158.75	0.03	13.33	0.01
161.80	0.03	13.45	0.01
164.85	0.03	13.56	0.01
167.90	0.03	13.65	0.01
170.96	0.03	13.73	0.01
174.01	0.03	13.85	0.01
177.06	0.03	14.00	0.01
180.12	0.03	14.13	0.01
183.17	0.03	14.28	0.01
186.22	0.03	14.38	0.01
189.27	0.03	14.51	0.01
192.33	0.03	14.64	0.01
195.38	0.03	14.80	0.01
198.43	0.03	14.97	0.01
201.48	0.03	15.12	0.01
204.54	0.03	15.28	0.01
207.59	0.03	15.43	0.01
210.64	0.03	15.59	0.01
213.70	0.03	15.73	0.01
216.75	0.03	15.88	0.01
219.80	0.03	16.03	0.01
222.85	0.03	16.17	0.01
225.91	0.03	16.30	0.01
228.96	0.03	16.41	0.01
232.01	0.03	16.45	0.01
235.07	0.03	16.52	0.01
238.12	0.03	16.58	0.01
241.17	0.03	16.63	0.01
244.22	0.03	16.68	0.01
246.67	0.03	16.72	0.01
