z_m,z_quoted_error_m,z_assigned_error_m,T,T_quoted_error,T_assigned_error
0.0,0.03,0.03,19.94,0.01,0.25
3.05,0.03,0.03,14.34,0.01,0.25
6.1,0.03,0.03,9.58,0.01,0.25
9.15,0.03,0.03,9.44,0.01,0.25
12.21,0.03,0.03,9.6,0.01,0.25
15.26,0.03,0.03,9.68,0.01,0.25
18.31,0.03,0.03,9.72,0.01,0.25
21.36,0.03,0.03,9.89,0.01,0.25
24.41,0.03,0.03,10.38,0.01,0.25
27.46,0.03,0.03,10.86,0.01,0.25
30.51,0.03,0.03,11.13,0.01,0.25
33.57,0.03,0.03,11.22,0.01,0.25
36.62,0.03,0.03,11.22,0.01,0.25
39.67,0.03,0.03,11.22,0.01,0.25
42.72,0.03,0.03,11.22,0.01,0.25
45.77,0.03,0.03,11.23,0.01,0.25
48.82,0.03,0.03,11.23,0.01,0.25
51.87,0.03,0.03,11.23,0.01,0.25
54.93,0.03,0.03,11.23,0.01,0.25
57.98,0.03,0.03,11.23,0.01,0.25
61.03,0.03,0.03,11.32,0.01,0.25
64.08,0.03,0.03,11.43,0.01,0.25
67.13,0.03,0.03,11.64,0.01,0.25
70.18,0.03,0.03,11.75,0.01,0.25
73.23,0.03,0.03,11.81,0.01,0.25
76.29,0.03,0.03,11.85,0.01,0.25
79.34,0.03,0.03,11.919,0.01,0.25
82.39,0.03,0.03,12.05,0.01,0.25
85.44,0.03,0.03,12.19,0.01,0.25
88.49,0.03,0.03,12.33,0.01,0.25
91.54,0.03,0.03,12.46,0.01,0.25
94.59,0.03,0.03,12.64,0.01,0.25
97.65,0.03,0.03,12.77,0.01,0.25
100.7,0.03,0.03,12.91,0.01,0.25
103.75,0.03,0.03,13.06,0.01,0.25
106.8,0.03,0.03,13.15,0.01,0.25
109.85,0.03,0.03,13.21,0.01,0.25
112.9,0.03,0.03,13.33,0.01,0.25
115.95,0.03,0.03,13.46,0.01,0.25
119.01,0.03,0.03,13.64,0.01,0.25
122.06,0.03,0.03,13.88,0.01,0.25
125.11,0.03,0.03,14.01,0.01,0.25
128.16,0.03,0.03,14.21,0.01,0.25
131.21,0.03,0.03,14.41,0.01,0.25
134.26,0.03,0.03,14.57,0.01,0.25
137.31,0.03,0.03,14.63,0.01,0.25
140.37,0.03,0.03,14.69,0.01,0.25
143.42,0.03,0.03,14.75,0.01,0.25
146.47,0.03,0.03,14.86,0.01,0.25
149.52,0.03,0.03,15.02,0.01,0.25
152.57,0.03,0.03,15.1,0.01,0.25
155.62,0.03,0.03,15.21,0.01,0.25
158.67,0.03,0.03,15.34,0.01,0.25
161.73,0.03,0.03,15.52,0.01,0.25
164.78,0.03,0.03,15.71,0.01,0.25
167.83,0.03,0.03,15.87,0.01,0.25
170.88,0.03,0.03,15.98,0.01,0.25
173.93,0.03,0.03,16.1,0.01,0.25
176.98,0.03,0.03,16.27,0.01,0.25
180.03,0.03,0.03,16.36,0.01,0.25
183.09,0.03,0.03,16.53,0.01,0.25
186.14,0.03,0.03,16.62,0.01,0.25
189.19,0.03,0.03,16.7,0.01,0.25
192.24,0.03,0.03,16.91,0.01,0.25
195.29,0.03,0.03,17.0,0.01,0.25
198.34,0.03,0.03,17.12,0.01,0.25
201.39,0.03,0.03,17.25,0.01,0.25
204.45,0.03,0.03,17.38,0.01,0.25
207.5,0.03,0.03,17.56,0.01,0.25
210.55,0.03,0.03,17.68,0.01,0.25
213.6,0.03,0.03,17.77,0.01,0.25
216.65,0.03,0.03,17.89,0.01,0.25
219.7,0.03,0.03,18.08,0.01,0.25
222.75,0.03,0.03,18.31,0.01,0.25
225.81,0.03,0.03,18.38,0.01,0.25
228.86,0.03,0.03,18.49,0.01,0.25
231.91,0.03,0.03,18.55,0.01,0.25
234.96,0.03,0.03,18.66,0.01,0.25
237.06,0.03,0.03,18.8,0.01,0.25
