Depth(m)	Depth_error(m)	Conductivity(Wm-1K-1)	Conductivity_error(Wm-1K-1)
31.97	NA	4.02	NA
34.64	NA	4.02	NA
38.50	NA	1.84	NA
40.82	NA	1.73	NA
43.50	NA	4.02	NA
45.35	NA	1.84	NA
47.39	NA	4.02	NA
51.67	NA	1.84	NA
54.71	NA	1.84	NA
55.31	NA	2.92	NA
57.08	NA	1.84	NA
59.80	NA	4.02	NA
61.82	NA	1.84	NA
65.30	NA	4.02	NA
75.94	NA	1.84	NA
78.38	NA	4.02	NA
82.09	NA	1.84	NA
83.20	NA	2.38	NA
85.04	NA	1.84	NA
87.50	NA	2.92	NA
89.61	NA	1.84	NA
91.75	NA	4.02	NA
93.25	NA	1.84	NA
94.03	NA	1.84	NA
96.18	NA	4.02	NA
99.72	NA	1.84	NA
104.62	NA	2.92	NA
111.15	NA	4.02	NA
116.20	NA	2.92	NA
119.01	NA	1.84	NA
120.65	NA	1.84	NA
134.20	NA	2.92	NA
142.46	NA	4.02	NA
146.20	NA	2.38	NA
151.40	NA	2.92	NA
153.35	NA	2.38	NA
156.66	NA	1.74	NA
157.60	NA	4.02	NA
162.45	NA	2.92	NA
166.78	NA	1.84	NA
174.12	NA	2.09	NA
174.70	NA	4.02	NA
177.36	NA	1.84	NA
180.80	NA	4.02	NA
184.35	NA	1.84	NA
189.07	NA	4.02	NA
192.65	NA	1.84	NA
195.20	NA	2.09	NA
200.25	NA	2.92	NA
200.45	NA	1.84	NA
202.47	NA	4.02	NA
206.30	NA	2.92	NA
208.25	NA	1.84	NA
212.88	NA	2.09	NA
214.75	NA	2.38	NA
220.26	NA	2.92	NA
223.23	NA	1.84	NA
226.00	NA	2.09	NA
234.88	NA	2.38	NA
239.29	NA	1.84	NA
241.87	NA	4.02	NA
