Depth(m)	Depth_error(m)	Temperature(degrees_C)	Temperature_error(degrees_C)
0.00	0.03	19.94	0.01
3.05	0.03	14.34	0.01
6.10	0.03	9.58	0.01
9.15	0.03	9.44	0.01
12.21	0.03	9.60	0.01
15.26	0.03	9.68	0.01
18.31	0.03	9.72	0.01
21.36	0.03	9.89	0.01
24.41	0.03	10.38	0.01
27.46	0.03	10.86	0.01
30.51	0.03	11.13	0.01
33.57	0.03	11.22	0.01
36.62	0.03	11.22	0.01
39.67	0.03	11.22	0.01
42.72	0.03	11.22	0.01
45.77	0.03	11.23	0.01
48.82	0.03	11.23	0.01
51.87	0.03	11.23	0.01
54.93	0.03	11.23	0.01
57.98	0.03	11.23	0.01
61.03	0.03	11.32	0.01
64.08	0.03	11.43	0.01
67.13	0.03	11.64	0.01
70.18	0.03	11.75	0.01
73.23	0.03	11.81	0.01
76.29	0.03	11.85	0.01
79.34	0.03	11.92	0.01
82.39	0.03	12.05	0.01
85.44	0.03	12.19	0.01
88.49	0.03	12.33	0.01
91.54	0.03	12.46	0.01
94.59	0.03	12.64	0.01
97.65	0.03	12.77	0.01
100.70	0.03	12.91	0.01
103.75	0.03	13.06	0.01
106.80	0.03	13.15	0.01
109.85	0.03	13.21	0.01
112.90	0.03	13.33	0.01
115.95	0.03	13.46	0.01
119.01	0.03	13.64	0.01
122.06	0.03	13.88	0.01
125.11	0.03	14.01	0.01
128.16	0.03	14.21	0.01
131.21	0.03	14.41	0.01
134.26	0.03	14.57	0.01
137.31	0.03	14.63	0.01
140.37	0.03	14.69	0.01
143.42	0.03	14.75	0.01
146.47	0.03	14.86	0.01
149.52	0.03	15.02	0.01
152.57	0.03	15.10	0.01
155.62	0.03	15.21	0.01
158.67	0.03	15.34	0.01
161.73	0.03	15.52	0.01
164.78	0.03	15.71	0.01
167.83	0.03	15.87	0.01
170.88	0.03	15.98	0.01
173.93	0.03	16.10	0.01
176.98	0.03	16.27	0.01
180.03	0.03	16.36	0.01
183.09	0.03	16.53	0.01
186.14	0.03	16.62	0.01
189.19	0.03	16.70	0.01
192.24	0.03	16.91	0.01
195.29	0.03	17.00	0.01
198.34	0.03	17.12	0.01
201.39	0.03	17.25	0.01
204.45	0.03	17.38	0.01
207.50	0.03	17.56	0.01
210.55	0.03	17.68	0.01
213.60	0.03	17.77	0.01
216.65	0.03	17.89	0.01
219.70	0.03	18.08	0.01
222.75	0.03	18.31	0.01
225.81	0.03	18.38	0.01
228.86	0.03	18.49	0.01
231.91	0.03	18.55	0.01
234.96	0.03	18.66	0.01
237.06	0.03	18.80	0.01
