zk_m,zk_quoted_error_m,zk_assigned_error_m,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,geological_description,number_k_samples,mean_k,k_quoted_error,k_assigned_error,min_k,max_k,k_distribution
31.97,nan,1,0.0,0.0,0.0,33.305,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
34.64,nan,1,33.305,nan,0.7071067811865476,36.57,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
38.5,nan,1,36.57,nan,0.7071067811865476,39.66,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
40.82,nan,1,39.66,nan,0.7071067811865476,42.16,nan,0.7071067811865476,nan,nan,1.73,nan,0.2,nan,nan,in_situ_normal
43.5,nan,1,42.16,nan,0.7071067811865476,44.425,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
45.35,nan,1,44.425,nan,0.7071067811865476,46.370000000000005,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
47.39,nan,1,46.370000000000005,nan,0.7071067811865476,49.53,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
51.67,nan,1,49.53,nan,0.7071067811865476,53.19,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
54.71,nan,1,53.19,nan,0.7071067811865476,55.010000000000005,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
55.31,nan,1,55.010000000000005,nan,0.7071067811865476,56.195,nan,0.7071067811865476,nan,nan,2.92,nan,0.2,nan,nan,in_situ_normal
57.08,nan,1,56.195,nan,0.7071067811865476,58.44,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
59.8,nan,1,58.44,nan,0.7071067811865476,60.81,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
61.82,nan,1,60.81,nan,0.7071067811865476,63.56,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
65.3,nan,1,63.56,nan,0.7071067811865476,70.62,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
75.94,nan,1,70.62,nan,0.7071067811865476,77.16,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
78.38,nan,1,77.16,nan,0.7071067811865476,80.235,nan,0.7071067811865476,nan,nan,4.02,nan,0.2,nan,nan,in_situ_normal
82.09,nan,1,80.235,nan,0.7071067811865476,82.64500000000001,nan,0.7071067811865476,nan,nan,1.84,nan,0.2,nan,nan,in_situ_normal
83.2,nan,1,82.64500000000001,nan,0.7071067811865476,84.12,nan,0.7071067811865476,nan,nan,2.38,nan,0.2,nan,nan,in_situ_normal
