z_m,z_quoted_error_m,z_assigned_error_m,T,T_quoted_error,T_assigned_error
0.0,0.03,0.03,14.95,0.01,0.25
3.05,0.03,0.03,7.14,0.01,0.25
6.1,0.03,0.03,7.09,0.01,0.25
9.15,0.03,0.03,7.63,0.01,0.25
12.21,0.03,0.03,7.99,0.01,0.25
15.26,0.03,0.03,8.18,0.01,0.25
18.31,0.03,0.03,8.27,0.01,0.25
21.36,0.03,0.03,8.3,0.01,0.25
24.41,0.03,0.03,8.34,0.01,0.25
27.46,0.03,0.03,8.37,0.01,0.25
30.51,0.03,0.03,8.41,0.01,0.25
33.56,0.03,0.03,8.46,0.01,0.25
36.62,0.03,0.03,8.5,0.01,0.25
39.67,0.03,0.03,8.53,0.01,0.25
42.72,0.03,0.03,8.57,0.01,0.25
45.77,0.03,0.03,8.61,0.01,0.25
48.82,0.03,0.03,8.65,0.01,0.25
51.87,0.03,0.03,8.69,0.01,0.25
54.92,0.03,0.03,8.75,0.01,0.25
57.97,0.03,0.03,8.82,0.01,0.25
61.03,0.03,0.03,8.86,0.01,0.25
64.08,0.03,0.03,8.9,0.01,0.25
67.13,0.03,0.03,8.94,0.01,0.25
70.18,0.03,0.03,8.99,0.01,0.25
73.23,0.03,0.03,9.03,0.01,0.25
76.28,0.03,0.03,9.07,0.01,0.25
79.33,0.03,0.03,9.12,0.01,0.25
82.38,0.03,0.03,9.16,0.01,0.25
85.44,0.03,0.03,9.21,0.01,0.25
88.49,0.03,0.03,9.26,0.01,0.25
91.54,0.03,0.03,9.31,0.01,0.25
94.59,0.03,0.03,9.36,0.01,0.25
97.64,0.03,0.03,9.4,0.01,0.25
100.69,0.03,0.03,9.46,0.01,0.25
103.74,0.03,0.03,9.5,0.01,0.25
106.8,0.03,0.03,9.55,0.01,0.25
109.85,0.03,0.03,9.6,0.01,0.25
112.9,0.03,0.03,9.65,0.01,0.25
115.95,0.03,0.03,9.7,0.01,0.25
119.0,0.03,0.03,9.74,0.01,0.25
122.05,0.03,0.03,9.79,0.01,0.25
125.1,0.03,0.03,9.84,0.01,0.25
128.15,0.03,0.03,9.88,0.01,0.25
131.21,0.03,0.03,9.94,0.01,0.25
134.26,0.03,0.03,9.98,0.01,0.25
137.31,0.03,0.03,10.03,0.01,0.25
140.36,0.03,0.03,10.08,0.01,0.25
143.41,0.03,0.03,10.13,0.01,0.25
146.46,0.03,0.03,10.18,0.01,0.25
149.51,0.03,0.03,10.23,0.01,0.25
152.56,0.03,0.03,10.28,0.01,0.25
155.62,0.03,0.03,10.33,0.01,0.25
158.67,0.03,0.03,10.38,0.01,0.25
161.72,0.03,0.03,10.43,0.01,0.25
164.77,0.03,0.03,10.48,0.01,0.25
167.82,0.03,0.03,10.53,0.01,0.25
170.87,0.03,0.03,10.59,0.01,0.25
173.92,0.03,0.03,10.64,0.01,0.25
176.97,0.03,0.03,10.7,0.01,0.25
180.03,0.03,0.03,10.75,0.01,0.25
183.08,0.03,0.03,10.82,0.01,0.25
186.13,0.03,0.03,10.88,0.01,0.25
186.31,0.03,0.03,10.88,0.01,0.25
