Depth(m)	Depth_error(m)	Conductivity(Wm-1K-1)	Conductivity_error(Wm-1K-1)
6.10	NA	3.61	NA
9.50	NA	3.51	NA
12.60	NA	3.64	NA
15.50	NA	3.55	NA
18.00	NA	3.36	NA
22.20	NA	2.99	NA
24.30	NA	3.17	NA
27.40	NA	3.38	NA
30.00	NA	3.75	NA
31.20	NA	3.03	NA
33.40	NA	3.53	NA
36.30	NA	3.33	NA
39.20	NA	3.77	NA
42.30	NA	3.49	NA
45.10	NA	3.49	NA
48.80	NA	3.47	NA
51.20	NA	3.30	NA
54.60	NA	3.65	NA
57.40	NA	3.44	NA
60.00	NA	3.15	NA
63.90	NA	3.84	NA
66.00	NA	3.49	NA
69.00	NA	3.14	NA
72.30	NA	3.59	NA
75.40	NA	3.44	NA
78.60	NA	3.99	NA
84.20	NA	3.21	NA
87.80	NA	3.68	NA
88.10	NA	3.18	NA
90.00	NA	3.55	NA
90.50	NA	3.44	NA
93.30	NA	3.36	NA
94.15	NA	3.48	NA
96.70	NA	2.88	NA
97.30	NA	3.12	NA
102.68	NA	3.48	NA
105.72	NA	3.39	NA
110.20	NA	2.13	NA
111.90	NA	2.21	NA
115.06	NA	2.12	NA
119.80	NA	3.73	NA
123.23	NA	3.30	NA
126.17	NA	3.36	NA
129.32	NA	3.48	NA
132.47	NA	3.24	NA
133.73	NA	3.53	NA
138.52	NA	3.41	NA
141.00	NA	3.38	NA
144.04	NA	3.49	NA
147.51	NA	3.34	NA
150.73	NA	3.20	NA
153.83	NA	3.54	NA
156.50	NA	3.75	NA
160.19	NA	3.66	NA
163.50	NA	2.85	NA
166.78	NA	3.59	NA
170.08	NA	3.30	NA
172.65	NA	3.61	NA
176.46	NA	3.77	NA
178.96	NA	2.82	NA
184.16	NA	2.56	NA
186.88	NA	2.65	NA
190.10	NA	3.72	NA
193.40	NA	2.66	NA
196.42	NA	3.52	NA
198.40	NA	2.94	NA
201.76	NA	3.78	NA
