Depth(m)	Depth_error(m)	Temperature(degrees_C)	Temperature_error(degrees_C)
0.00	0.03	14.95	0.01
3.05	0.03	7.14	0.01
6.10	0.03	7.09	0.01
9.15	0.03	7.63	0.01
12.21	0.03	7.99	0.01
15.26	0.03	8.18	0.01
18.31	0.03	8.27	0.01
21.36	0.03	8.30	0.01
24.41	0.03	8.34	0.01
27.46	0.03	8.37	0.01
30.51	0.03	8.41	0.01
33.56	0.03	8.46	0.01
36.62	0.03	8.50	0.01
39.67	0.03	8.53	0.01
42.72	0.03	8.57	0.01
45.77	0.03	8.61	0.01
48.82	0.03	8.65	0.01
51.87	0.03	8.69	0.01
54.92	0.03	8.75	0.01
57.97	0.03	8.82	0.01
61.03	0.03	8.86	0.01
64.08	0.03	8.90	0.01
67.13	0.03	8.94	0.01
70.18	0.03	8.99	0.01
73.23	0.03	9.03	0.01
76.28	0.03	9.07	0.01
79.33	0.03	9.12	0.01
82.38	0.03	9.16	0.01
85.44	0.03	9.21	0.01
88.49	0.03	9.26	0.01
91.54	0.03	9.31	0.01
94.59	0.03	9.36	0.01
97.64	0.03	9.40	0.01
100.69	0.03	9.46	0.01
103.74	0.03	9.50	0.01
106.80	0.03	9.55	0.01
109.85	0.03	9.60	0.01
112.90	0.03	9.65	0.01
115.95	0.03	9.70	0.01
119.00	0.03	9.74	0.01
122.05	0.03	9.79	0.01
125.10	0.03	9.84	0.01
128.15	0.03	9.88	0.01
131.21	0.03	9.94	0.01
134.26	0.03	9.98	0.01
137.31	0.03	10.03	0.01
140.36	0.03	10.08	0.01
143.41	0.03	10.13	0.01
146.46	0.03	10.18	0.01
149.51	0.03	10.23	0.01
152.56	0.03	10.28	0.01
155.62	0.03	10.33	0.01
158.67	0.03	10.38	0.01
161.72	0.03	10.43	0.01
164.77	0.03	10.48	0.01
167.82	0.03	10.53	0.01
170.87	0.03	10.59	0.01
173.92	0.03	10.64	0.01
176.97	0.03	10.70	0.01
180.03	0.03	10.75	0.01
183.08	0.03	10.82	0.01
186.13	0.03	10.88	0.01
186.31	0.03	10.88	0.01
