zk_m,zk_quoted_error_m,zk_assigned_error_m,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,geological_description,number_k_samples,mean_k,k_quoted_error,k_assigned_error,min_k,max_k,k_distribution
6.1,nan,1,0.0,0.0,0.0,7.8,nan,0.7071067811865476,nan,nan,3.61,nan,0.2,nan,nan,in_situ_normal
9.5,nan,1,7.8,nan,0.7071067811865476,11.05,nan,0.7071067811865476,nan,nan,3.51,nan,0.2,nan,nan,in_situ_normal
12.6,nan,1,11.05,nan,0.7071067811865476,14.05,nan,0.7071067811865476,nan,nan,3.64,nan,0.2,nan,nan,in_situ_normal
15.5,nan,1,14.05,nan,0.7071067811865476,16.75,nan,0.7071067811865476,nan,nan,3.55,nan,0.2,nan,nan,in_situ_normal
18.0,nan,1,16.75,nan,0.7071067811865476,20.1,nan,0.7071067811865476,nan,nan,3.36,nan,0.2,nan,nan,in_situ_normal
22.2,nan,1,20.1,nan,0.7071067811865476,23.25,nan,0.7071067811865476,nan,nan,2.99,nan,0.2,nan,nan,in_situ_normal
24.3,nan,1,23.25,nan,0.7071067811865476,25.85,nan,0.7071067811865476,nan,nan,3.17,nan,0.2,nan,nan,in_situ_normal
27.4,nan,1,25.85,nan,0.7071067811865476,28.7,nan,0.7071067811865476,nan,nan,3.38,nan,0.2,nan,nan,in_situ_normal
30.0,nan,1,28.7,nan,0.7071067811865476,30.6,nan,0.7071067811865476,nan,nan,3.75,nan,0.2,nan,nan,in_situ_normal
31.2,nan,1,30.6,nan,0.7071067811865476,32.3,nan,0.7071067811865476,nan,nan,3.03,nan,0.2,nan,nan,in_situ_normal
33.4,nan,1,32.3,nan,0.7071067811865476,34.849999999999994,nan,0.7071067811865476,nan,nan,3.53,nan,0.2,nan,nan,in_situ_normal
36.3,nan,1,34.849999999999994,nan,0.7071067811865476,37.75,nan,0.7071067811865476,nan,nan,3.33,nan,0.2,nan,nan,in_situ_normal
39.2,nan,1,37.75,nan,0.7071067811865476,40.75,nan,0.7071067811865476,nan,nan,3.77,nan,0.2,nan,nan,in_situ_normal
42.3,nan,1,40.75,nan,0.7071067811865476,43.7,nan,0.7071067811865476,nan,nan,3.49,nan,0.2,nan,nan,in_situ_normal
45.1,nan,1,43.7,nan,0.7071067811865476,46.95,nan,0.7071067811865476,nan,nan,3.49,nan,0.2,nan,nan,in_situ_normal
48.8,nan,1,46.95,nan,0.7071067811865476,50.0,nan,0.7071067811865476,nan,nan,3.47,nan,0.2,nan,nan,in_situ_normal
51.2,nan,1,50.0,nan,0.7071067811865476,52.900000000000006,nan,0.7071067811865476,nan,nan,3.3,nan,0.2,nan,nan,in_situ_normal
54.6,nan,1,52.900000000000006,nan,0.7071067811865476,56.0,nan,0.7071067811865476,nan,nan,3.65,nan,0.2,nan,nan,in_situ_normal
57.4,nan,1,56.0,nan,0.7071067811865476,58.7,nan,0.7071067811865476,nan,nan,3.44,nan,0.2,nan,nan,in_situ_normal
60.0,nan,1,58.7,nan,0.7071067811865476,61.95,nan,0.7071067811865476,nan,nan,3.15,nan,0.2,nan,nan,in_situ_normal
63.9,nan,1,61.95,nan,0.7071067811865476,64.95,nan,0.7071067811865476,nan,nan,3.84,nan,0.2,nan,nan,in_situ_normal
66.0,nan,1,64.95,nan,0.7071067811865476,67.5,nan,0.7071067811865476,nan,nan,3.49,nan,0.2,nan,nan,in_situ_normal
69.0,nan,1,67.5,nan,0.7071067811865476,70.65,nan,0.7071067811865476,nan,nan,3.14,nan,0.2,nan,nan,in_situ_normal
72.3,nan,1,70.65,nan,0.7071067811865476,73.85,nan,0.7071067811865476,nan,nan,3.59,nan,0.2,nan,nan,in_situ_normal
75.4,nan,1,73.85,nan,0.7071067811865476,77.0,nan,0.7071067811865476,nan,nan,3.44,nan,0.2,nan,nan,in_situ_normal
78.6,nan,1,77.0,nan,0.7071067811865476,81.4,nan,0.7071067811865476,nan,nan,3.99,nan,0.2,nan,nan,in_situ_normal
84.2,nan,1,81.4,nan,0.7071067811865476,86.0,nan,0.7071067811865476,nan,nan,3.21,nan,0.2,nan,nan,in_situ_normal
87.8,nan,1,86.0,nan,0.7071067811865476,87.94999999999999,nan,0.7071067811865476,nan,nan,3.68,nan,0.2,nan,nan,in_situ_normal
88.1,nan,1,87.94999999999999,nan,0.7071067811865476,89.05,nan,0.7071067811865476,nan,nan,3.18,nan,0.2,nan,nan,in_situ_normal
90.0,nan,1,89.05,nan,0.7071067811865476,90.25,nan,0.7071067811865476,nan,nan,3.55,nan,0.2,nan,nan,in_situ_normal
90.5,nan,1,90.25,nan,0.7071067811865476,91.9,nan,0.7071067811865476,nan,nan,3.44,nan,0.2,nan,nan,in_situ_normal
93.3,nan,1,91.9,nan,0.7071067811865476,93.725,nan,0.7071067811865476,nan,nan,3.36,nan,0.2,nan,nan,in_situ_normal
94.15,nan,1,93.725,nan,0.7071067811865476,95.42500000000001,nan,0.7071067811865476,nan,nan,3.48,nan,0.2,nan,nan,in_situ_normal
96.7,nan,1,95.42500000000001,nan,0.7071067811865476,97.0,nan,0.7071067811865476,nan,nan,2.88,nan,0.2,nan,nan,in_situ_normal
97.3,nan,1,97.0,nan,0.7071067811865476,99.99000000000001,nan,0.7071067811865476,nan,nan,3.12,nan,0.2,nan,nan,in_situ_normal
102.68,nan,1,99.99000000000001,nan,0.7071067811865476,104.2,nan,0.7071067811865476,nan,nan,3.48,nan,0.2,nan,nan,in_situ_normal
105.72,nan,1,104.2,nan,0.7071067811865476,107.96000000000001,nan,0.7071067811865476,nan,nan,3.39,nan,0.2,nan,nan,in_situ_normal
110.2,nan,1,107.96000000000001,nan,0.7071067811865476,111.05000000000001,nan,0.7071067811865476,nan,nan,2.13,nan,0.2,nan,nan,in_situ_normal
111.9,nan,1,111.05000000000001,nan,0.7071067811865476,113.48,nan,0.7071067811865476,nan,nan,2.21,nan,0.2,nan,nan,in_situ_normal
115.06,nan,1,113.48,nan,0.7071067811865476,117.43,nan,0.7071067811865476,nan,nan,2.12,nan,0.2,nan,nan,in_situ_normal
119.8,nan,1,117.43,nan,0.7071067811865476,121.515,nan,0.7071067811865476,nan,nan,3.73,nan,0.2,nan,nan,in_situ_normal
123.23,nan,1,121.515,nan,0.7071067811865476,124.7,nan,0.7071067811865476,nan,nan,3.3,nan,0.2,nan,nan,in_situ_normal
126.17,nan,1,124.7,nan,0.7071067811865476,127.745,nan,0.7071067811865476,nan,nan,3.36,nan,0.2,nan,nan,in_situ_normal
129.32,nan,1,127.745,nan,0.7071067811865476,130.89499999999998,nan,0.7071067811865476,nan,nan,3.48,nan,0.2,nan,nan,in_situ_normal
132.47,nan,1,130.89499999999998,nan,0.7071067811865476,133.1,nan,0.7071067811865476,nan,nan,3.24,nan,0.2,nan,nan,in_situ_normal
133.73,nan,1,133.1,nan,0.7071067811865476,136.125,nan,0.7071067811865476,nan,nan,3.53,nan,0.2,nan,nan,in_situ_normal
138.52,nan,1,136.125,nan,0.7071067811865476,139.76,nan,0.7071067811865476,nan,nan,3.41,nan,0.2,nan,nan,in_situ_normal
141.0,nan,1,139.76,nan,0.7071067811865476,142.51999999999998,nan,0.7071067811865476,nan,nan,3.38,nan,0.2,nan,nan,in_situ_normal
144.04,nan,1,142.51999999999998,nan,0.7071067811865476,145.77499999999998,nan,0.7071067811865476,nan,nan,3.49,nan,0.2,nan,nan,in_situ_normal
147.51,nan,1,145.77499999999998,nan,0.7071067811865476,149.12,nan,0.7071067811865476,nan,nan,3.34,nan,0.2,nan,nan,in_situ_normal
150.73,nan,1,149.12,nan,0.7071067811865476,152.28,nan,0.7071067811865476,nan,nan,3.2,nan,0.2,nan,nan,in_situ_normal
153.83,nan,1,152.28,nan,0.7071067811865476,155.16500000000002,nan,0.7071067811865476,nan,nan,3.54,nan,0.2,nan,nan,in_situ_normal
156.5,nan,1,155.16500000000002,nan,0.7071067811865476,158.345,nan,0.7071067811865476,nan,nan,3.75,nan,0.2,nan,nan,in_situ_normal
160.19,nan,1,158.345,nan,0.7071067811865476,161.845,nan,0.7071067811865476,nan,nan,3.66,nan,0.2,nan,nan,in_situ_normal
163.5,nan,1,161.845,nan,0.7071067811865476,165.14,nan,0.7071067811865476,nan,nan,2.85,nan,0.2,nan,nan,in_situ_normal
166.78,nan,1,165.14,nan,0.7071067811865476,168.43,nan,0.7071067811865476,nan,nan,3.59,nan,0.2,nan,nan,in_situ_normal
170.08,nan,1,168.43,nan,0.7071067811865476,171.365,nan,0.7071067811865476,nan,nan,3.3,nan,0.2,nan,nan,in_situ_normal
172.65,nan,1,171.365,nan,0.7071067811865476,174.555,nan,0.7071067811865476,nan,nan,3.61,nan,0.2,nan,nan,in_situ_normal
176.46,nan,1,174.555,nan,0.7071067811865476,177.71,nan,0.7071067811865476,nan,nan,3.77,nan,0.2,nan,nan,in_situ_normal
178.96,nan,1,177.71,nan,0.7071067811865476,181.56,nan,0.7071067811865476,nan,nan,2.82,nan,0.2,nan,nan,in_situ_normal
184.16,nan,1,181.56,nan,0.7071067811865476,185.51999999999998,nan,0.7071067811865476,nan,nan,2.56,nan,0.2,nan,nan,in_situ_normal
186.88,nan,1,185.51999999999998,nan,0.7071067811865476,188.49,nan,0.7071067811865476,nan,nan,2.65,nan,0.2,nan,nan,in_situ_normal
190.1,nan,1,188.49,nan,0.7071067811865476,191.75,nan,0.7071067811865476,nan,nan,3.72,nan,0.2,nan,nan,in_situ_normal
193.4,nan,1,191.75,nan,0.7071067811865476,194.91,nan,0.7071067811865476,nan,nan,2.66,nan,0.2,nan,nan,in_situ_normal
196.42,nan,1,194.91,nan,0.7071067811865476,197.41,nan,0.7071067811865476,nan,nan,3.52,nan,0.2,nan,nan,in_situ_normal
198.4,nan,1,197.41,nan,0.7071067811865476,200.07999999999998,nan,0.7071067811865476,nan,nan,2.94,nan,0.2,nan,nan,in_situ_normal
201.76,nan,1,200.07999999999998,nan,0.7071067811865476,201.76,nan,1.0,nan,nan,3.78,nan,0.2,nan,nan,in_situ_normal
