z_m,z_quoted_error_m,z_assigned_error_m,T,T_quoted_error,T_assigned_error
6.12,0.03,0.03,10.68,0.01,0.25
9.18,0.03,0.03,10.1,0.01,0.25
12.24,0.03,0.03,10.08,0.01,0.25
15.31,0.03,0.03,10.12,0.01,0.25
18.37,0.03,0.03,10.16,0.01,0.25
21.43,0.03,0.03,10.19,0.01,0.25
24.49,0.03,0.03,10.21,0.01,0.25
27.55,0.03,0.03,10.24,0.01,0.25
30.61,0.03,0.03,10.26,0.01,0.25
33.67,0.03,0.03,10.31,0.01,0.25
36.73,0.03,0.03,10.37,0.01,0.25
39.79,0.03,0.03,10.42,0.01,0.25
42.86,0.03,0.03,10.49,0.01,0.25
45.92,0.03,0.03,10.56,0.01,0.25
48.98,0.03,0.03,10.64,0.01,0.25
52.04,0.03,0.03,10.71,0.01,0.25
55.1,0.03,0.03,10.8,0.01,0.25
58.16,0.03,0.03,10.91,0.01,0.25
61.22,0.03,0.03,10.94,0.01,0.25
64.28,0.03,0.03,11.07,0.01,0.25
67.34,0.03,0.03,11.15,0.01,0.25
70.41,0.03,0.03,11.22,0.01,0.25
73.47,0.03,0.03,11.31,0.01,0.25
76.53,0.03,0.03,11.4,0.01,0.25
79.59,0.03,0.03,11.49,0.01,0.25
82.65,0.03,0.03,11.58,0.01,0.25
85.71,0.03,0.03,11.67,0.01,0.25
88.77,0.03,0.03,11.75,0.01,0.25
91.83,0.03,0.03,11.84,0.01,0.25
94.89,0.03,0.03,11.94,0.01,0.25
97.95,0.03,0.03,12.04,0.01,0.25
101.02,0.03,0.03,12.15,0.01,0.25
104.08,0.03,0.03,12.27,0.01,0.25
107.14,0.03,0.03,12.37,0.01,0.25
110.2,0.03,0.03,12.48,0.01,0.25
113.26,0.03,0.03,12.59,0.01,0.25
116.32,0.03,0.03,12.7,0.01,0.25
119.38,0.03,0.03,12.81,0.01,0.25
122.44,0.03,0.03,12.93,0.01,0.25
125.5,0.03,0.03,13.05,0.01,0.25
128.57,0.03,0.03,13.17,0.01,0.25
131.63,0.03,0.03,13.29,0.01,0.25
134.69,0.03,0.03,13.4,0.01,0.25
137.75,0.03,0.03,13.51,0.01,0.25
140.81,0.03,0.03,13.61,0.01,0.25
143.87,0.03,0.03,13.73,0.01,0.25
146.93,0.03,0.03,13.85,0.01,0.25
149.99,0.03,0.03,13.97,0.01,0.25
153.05,0.03,0.03,14.08,0.01,0.25
156.12,0.03,0.03,14.22,0.01,0.25
159.18,0.03,0.03,14.33,0.01,0.25
162.24,0.03,0.03,14.44,0.01,0.25
165.3,0.03,0.03,14.53,0.01,0.25
168.36,0.03,0.03,14.64,0.01,0.25
171.42,0.03,0.03,14.74,0.01,0.25
174.48,0.03,0.03,14.85,0.01,0.25
177.54,0.03,0.03,14.96,0.01,0.25
180.6,0.03,0.03,15.07,0.01,0.25
183.67,0.03,0.03,15.18,0.01,0.25
186.73,0.03,0.03,15.28,0.01,0.25
189.79,0.03,0.03,15.37,0.01,0.25
192.85,0.03,0.03,15.46,0.01,0.25
195.91,0.03,0.03,15.53,0.01,0.25
198.97,0.03,0.03,15.59,0.01,0.25
202.03,0.03,0.03,15.66,0.01,0.25
205.09,0.03,0.03,15.73,0.01,0.25
208.15,0.03,0.03,15.75,0.01,0.25
211.22,0.03,0.03,15.8,0.01,0.25
214.28,0.03,0.03,15.89,0.01,0.25
217.34,0.03,0.03,15.97,0.01,0.25
220.4,0.03,0.03,16.05,0.01,0.25
223.46,0.03,0.03,16.16,0.01,0.25
226.52,0.03,0.03,16.25,0.01,0.25
229.58,0.03,0.03,16.34,0.01,0.25
232.64,0.03,0.03,16.43,0.01,0.25
235.7,0.03,0.03,16.54,0.01,0.25
238.77,0.03,0.03,16.64,0.01,0.25
241.83,0.03,0.03,16.73,0.01,0.25
244.89,0.03,0.03,16.82,0.01,0.25
247.95,0.03,0.03,16.93,0.01,0.25
251.01,0.03,0.03,17.02,0.01,0.25
254.07,0.03,0.03,17.1,0.01,0.25
257.13,0.03,0.03,17.21,0.01,0.25
260.19,0.03,0.03,17.32,0.01,0.25
263.25,0.03,0.03,17.42,0.01,0.25
266.31,0.03,0.03,17.52,0.01,0.25
269.38,0.03,0.03,17.63,0.01,0.25
272.44,0.03,0.03,17.74,0.01,0.25
275.5,0.03,0.03,17.85,0.01,0.25
278.56,0.03,0.03,17.94,0.01,0.25
281.62,0.03,0.03,18.03,0.01,0.25
284.68,0.03,0.03,18.12,0.01,0.25
287.74,0.03,0.03,18.2,0.01,0.25
290.8,0.03,0.03,18.29,0.01,0.25
293.86,0.03,0.03,18.38,0.01,0.25
296.93,0.03,0.03,18.48,0.01,0.25
299.99,0.03,0.03,18.57,0.01,0.25
303.05,0.03,0.03,18.66,0.01,0.25
306.11,0.03,0.03,18.76,0.01,0.25
309.17,0.03,0.03,18.83,0.01,0.25
312.23,0.03,0.03,18.94,0.01,0.25
315.29,0.03,0.03,19.03,0.01,0.25
318.35,0.03,0.03,19.12,0.01,0.25
321.41,0.03,0.03,19.23,0.01,0.25
324.48,0.03,0.03,19.32,0.01,0.25
327.54,0.03,0.03,19.41,0.01,0.25
330.6,0.03,0.03,19.51,0.01,0.25
333.66,0.03,0.03,19.61,0.01,0.25
336.72,0.03,0.03,19.7,0.01,0.25
339.78,0.03,0.03,19.79,0.01,0.25
