source,z0_m,z0_quoted_error_m,z0_assigned_error_m,z1_m,z1_quoted_error_m,z1_assigned_error_m,source_lith,source_group,source_formation,source_member,source_age,source_notes,strat_log_lookup_key,bgs_group_name,bgs_formation_name,bgs_formation_code,rollin1987_unit,rollin1987_unit_number_k_samples,rollin1987_unit_mean_k,rollin1987_unit_stdev_k,rollin1987_unit_min_k,rollin1987_unit_max_k,source_lith_cermak1982,source_lith_cermak1982_number_k_samples,source_lith_cermak1982_mean_k,source_lith_cermak1982_stdev_k,source_lith_cermak1982_min_k,source_lith_cermak1982_max_k,unit_lith_cermak1982,unit_lith_cermak1982_number_k_samples,unit_lith_cermak1982_mean_k,unit_lith_cermak1982_stdev_k,unit_lith_cermak1982_min_k,unit_lith_cermak1982_max_k
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,0.0,nan,0,46.55,nan,2,fluvioglacial,Fluvioglacial Deposits,nan,nan,nan,nan,Fluvioglacial Deposits,fluvioglacial,nan,FGD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,mudrock,1467.0,nan,nan,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,46.55,nan,2,150.85,nan,2,mudstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,mudrock,1467.0,nan,unstated,0.5,4.25,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,150.85,nan,2,198.4,nan,2,mudstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,mudrock,1467.0,nan,unstated,0.5,4.25,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,198.4,nan,2,203.9,nan,2,mudstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,mudrock,1467.0,nan,unstated,0.5,4.25,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,203.9,nan,2,211.0,nan,2,halite,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,evaporite,147.0,nan,unstated,1.0,7.15,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,211.0,nan,2,229.5,nan,2,mudstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,mudrock,1467.0,nan,unstated,0.5,4.25,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,229.5,nan,2,235.08,nan,2,mudstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,mudrock,1467.0,nan,unstated,0.5,4.25,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,235.08,nan,2,235.19,nan,2,siltstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,mudrock,1467.0,nan,unstated,0.5,4.25,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,235.19,nan,2,240.8,nan,2,mudstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,mudrock,1467.0,nan,unstated,0.5,4.25,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,240.8,nan,2,241.0,nan,2,sandstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,sandstone,1262.0,2.47,unstated,0.9,6.55,mudrock,1467.0,nan,unstated,0.5,4.25
/Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/boreholes/standardised_borehole_records/individual_boreholes_compilation/silloth_no2/drilling_reports/bgs_borehole_scans/silloth_no2_scans/silloth_no2_scans.pdf,241.0,nan,2,247.0,nan,2,mudstone,Mercia Mudstone,Stanwix Shales,nan,nan,nan,Stanwix Shales,mercia_mudstone,stanwix_shales(obsolete),STSH,keuper_marl,41.0,2.28,2.11303099835284,unstated,unstated,mudrock,1467.0,nan,unstated,0.5,4.25,mudrock,1467.0,nan,unstated,0.5,4.25
