z_m,z_quoted_error_m,z_assigned_error_m,T,T_quoted_error,T_assigned_error
142.9512,unstated,2,14.0,0.1,0.1
190.8048,unstated,2,15.9,0.1,0.1
238.3536,unstated,2,17.0,0.1,0.1
281.3304,unstated,2,18.9,0.1,0.1
357.53040000000004,unstated,2,22.4,0.1,0.1
429.15840000000003,unstated,2,24.4,0.1,0.1
500.4816,unstated,2,26.1,0.1,0.1
572.1096,unstated,2,27.9,0.1,0.1
643.7376,unstated,2,29.3,0.1,0.1
715.0608000000001,unstated,2,30.6,0.1,0.1
760.476,unstated,2,31.6,0.1,0.1
810.4632,unstated,2,32.8,0.1,0.1
858.3168000000001,unstated,2,34.1,0.1,0.1
905.8656000000001,unstated,2,35.7,0.1,0.1
