"Formation","Age","MD (ft)","MD (m)","TVDSS (ft)","TVDSS (m)","TWT (s)","Detail"
"Middle Lias","Lower Jurassic","230","70.1","36","11.0","","First samples"
"Lower Lias","Lower Jurassic","250","76.2","56","17.1","",""
"Rhaetic","Upper Triassic","1162","354.3","968","295.1","",""
"Keuper Marl","Lower Triassic","1212","369.5","1018","310.4","",""
"Bunter Sandstone","Lower Triassic","1870","570.1","1676","511.0","",""
"Upper Permian Marl","Upper Permian","2750","838.4","2556","779.3","",""
"Top Anhydrite","Upper Permian","2951","899.7","2757","840.5","",""
"Main Salt","Upper Permian","2992","912.2","2798","853.0","",""
"Main Anhydrite","Upper Permian","3080","939.0","2886","879.9","",""
"Upper Magnesian Limestone","Middle-Upper Permian","3105","946.6","2911","887.5","",""
"Lower Salt","Middle-Upper Permian","3198","975.0","3004","915.9","",""
"Lower Anhydrite","Middle-Upper Permian","3220","981.7","3026","922.6","",""
"Main Magnesian Limestone","Middle-Upper Permian","3270","997.0","3076","937.8","",""
"Lower Anhydrite C","Middle-Upper Permian","3500","1067.1","3306","1007.9","",""
"Lower Salt D","Middle-Upper Permian","3605","1099.1","3411","1039.9","",""
"Lower Anhydrite D","Middle-Upper Permian","3630","1106.7","3436","1047.6","",""
"Dolomite","Middle-Upper Permian","3750","1143.3","3556","1084.1","","Produced brine"
"TD (Zechstein)","Middle-Upper Permian","3827","1166.5","3633","1107.3","",""
