Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.37,-.13,-.01,-.82,-.44,-.29,-.15,-.10,-.03,.05,.64
1881,-.08,-.17,.01,-.33,.11,-.06,-.91,-.40,-.20,.10,.11,-.04,-.07,.57
1882,-.10,-.20,-.01,-.29,-.05,.02,-1.40,-.23,-.14,-.05,-.05,.02,.04,.60
1883,-.17,-.27,-.06,-.33,-.16,-.01,-.20,-.53,-.25,-.17,-.15,-.03,.07,.47
1884,-.28,-.43,-.15,-.61,-.15,-.13,-1.32,-.62,-.48,-.13,-.16,-.18,-.02,.62
1885,-.33,-.43,-.24,-.65,-.13,-.27,-1.53,-.66,-.46,-.05,-.20,-.33,-.15,.79
1886,-.31,-.42,-.20,-.56,-.19,-.21,-1.61,-.47,-.41,-.20,-.18,-.19,-.20,.56
1887,-.35,-.43,-.28,-.52,-.29,-.28,-1.78,-.48,-.29,-.28,-.30,-.27,-.26,.29
1888,-.17,-.23,-.12,-.42,.10,-.29,-1.32,-.40,-.25,.08,.12,-.31,-.22,.13
1889,-.10,-.17,-.04,-.29,.08,-.16,-.70,-.20,-.28,.03,.13,-.15,-.15,.42
1890,-.35,-.38,-.32,-.45,-.37,-.22,-1.15,-.53,-.28,-.25,-.48,-.17,-.27,.12
1891,-.23,-.26,-.19,-.43,-.08,-.21,-1.16,-.33,-.37,.01,-.17,-.17,-.24,-.18
1892,-.27,-.39,-.16,-.44,-.29,-.08,-1.19,-.64,-.18,-.31,-.27,.03,-.21,.06
1893,-.31,-.47,-.15,-.52,-.36,-.04,-.73,-.53,-.48,-.41,-.31,.07,-.20,-.07
1894,-.30,-.39,-.22,-.33,-.33,-.24,-1.00,-.32,-.19,-.47,-.19,-.14,-.35,-.40
1895,-.23,-.30,-.15,-.41,-.07,-.26,-.72,-.52,-.27,-.13,-.01,-.19,-.32,-.61
1896,-.11,-.19,-.03,-.36,.10,-.15,-.93,-.36,-.22,.07,.14,-.15,-.13,.23
1897,-.11,-.16,-.05,-.36,.17,-.23,-.61,-.46,-.24,.15,.20,-.19,-.27,.38
1898,-.27,-.27,-.26,-.34,-.22,-.26,-1.16,-.19,-.23,-.17,-.27,-.27,-.21,.35
1899,-.18,-.21,-.14,-.24,-.12,-.19,-1.09,-.08,-.15,-.15,-.09,-.15,-.22,.55
1900,-.08,-.08,-.06,-.20,.18,-.29,-.57,-.12,-.16,.10,.25,-.28,-.29,.24
1901,-.15,-.12,-.18,-.16,-.03,-.30,-.45,-.09,-.14,-.05,-.02,-.27,-.33,.23
1902,-.28,-.33,-.22,-.53,-.04,-.35,-1.43,-.49,-.32,-.01,-.06,-.28,-.43,-.08
1903,-.37,-.37,-.37,-.47,-.28,-.38,-.31,-.40,-.56,-.22,-.34,-.35,-.40,-.49
1904,-.47,-.47,-.46,-.51,-.46,-.43,-.20,-.58,-.55,-.43,-.50,-.37,-.49,-1.31
1905,-.26,-.29,-.23,-.40,-.09,-.36,-.10,-.21,-.62,-.12,-.06,-.33,-.37,-.33
1906,-.22,-.23,-.21,-.25,-.19,-.23,-.31,-.05,-.39,-.19,-.19,-.20,-.22,-.70
1907,-.38,-.46,-.30,-.58,-.30,-.29,-.61,-.71,-.51,-.29,-.32,-.20,-.36,-1.19
1908,-.42,-.45,-.40,-.48,-.43,-.36,-.28,-.53,-.51,-.40,-.47,-.29,-.48,.68
1909,-.48,-.49,-.48,-.53,-.48,-.44,-.79,-.60,-.43,-.43,-.53,-.37,-.52,-.56
1910,-.43,-.43,-.43,-.41,-.48,-.38,-.61,-.22,-.49,-.46,-.50,-.32,-.45,.17
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.32,-.40,-.46,-.42,-.43,-.43,-.52,.06
1912,-.36,-.45,-.25,-.59,-.18,-.36,-.52,-.77,-.49,-.26,-.10,-.36,-.29,-1.62
1913,-.35,-.42,-.26,-.44,-.28,-.35,-.53,-.32,-.50,-.40,-.15,-.28,-.40,-1.03
